State,Type,Company,Location,House Member
VIRGINIA,Company,"Heidelberg Materials,","Waynesboro,",Ben Cline (R-6th)
VIRGINIA,Company,"Heidelberg Materials,","Norfolk,",Bobby Scott (D-3rd)
VIRGINIA,Company,"Heidelberg Materials, Chester, Jennifer",Mc,Clellan (D-4th)
VIRGINIA,Company,"QUIKRETE Cement, Ashland, John",Mc,Guire (R-5th)
VIRGINIA,Company,"QUIKRETE Cement,","Chesapeake,",Bobby Scott (D-3rd)
VIRGINIA,Company,"QUIKRETE Cement, Newport","News,",Bobby Scott (D-3rd)
VIRGINIA,Company,"Titan America LLC,","Norfolk,",Bobby Scott (D-3rd)
ALABAMA,Company,Amrize1,Theodore,Barry Moore (R-1st)
ALABAMA,Company,Cemex USA,Demopolis,Terri Sewell (D-7th)
ALABAMA,Company,Heidelberg Materials,Leeds,Gary Palmer (R-6th)
ALABAMA,Company,"National Cement Company of Alabama, Inc.",Ragland,Mike Rogers (R-3rd)
ALABAMA,Company,QUIKRETE Cement,Calera,Gary Palmer (R-6th)
ALABAMA,Terminal,Amrize1,Birmingham,Terri Sewell (D-7th)
ALABAMA,Terminal,Cemex USA,Decatur,Dale Strong (R-5th)
ALABAMA,Terminal,Cemex USA,Birmingham,Terri Sewell (D-7th)
ALABAMA,Terminal,Cemex USA,Prichard,Shomari Figures (D-2nd)
ALABAMA,Terminal,Heidelberg Materials,Leeds,Gary Palmer (R-6th)
ALABAMA,Terminal,QUIKRETE Cement,Mobile,Shomari Figures (D-2nd)
KANSAS,Company,"Ash Grove, a CRH Company",Chanute,Derek Schmidt (R-2nd)
KANSAS,Company,"Ash Grove, a CRH Company, Great","Bend,",Tracey Mann (R-1st)
KANSAS,Company,"Ash Grove, a CRH Company, Kansas","City,",Sharice Davids (D-3rd)
KANSAS,Company,"Buzzi Unicem USA, Bonner","Springs,",Sharice Davids (D-3rd)
KANSAS,Company,"Buzzi Unicem USA,","Wichita,",Ron Estes (R-4th)
KANSAS,Company,"Eagle Materials1,","Wichita,",Ron Estes (R-4th)
