Facility Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Cement Production
1006659.0,ARGOS CEMENT LLC. - ROBERTA PLANT,CALERA,AL,35040.0,8039 HIGHWAY 25,SHELBY COUNTY,33.1,-86.8,327310.0,1058822.438
1007566.0,ARGOS USA -Martinsburg,MARTINSBURG,WV,25401.0,1826 SOUTH QUEEN STREET,BERKELEY COUNTY,39.43,-77.98,327310.0,843425.226
1006785.0,ARMSTRONG CEMENT & SUPPLY,CABOT,PA,16023.0,100 CLEARFIELD ROAD,BUTLER COUNTY,40.79,-79.7,327310.0,184551.31
1002665.0,ASH GROVE CEMENT CO-CHANUTE PLANT,CHANUTE,KS,66720.0,1801 NORTH SANTA FE STREET,NEOSHO COUNTY,37.7,-95.46,327310.0,1298420.06
1002421.0,ASH GROVE CEMENT COMPANY,MIDLOTHIAN,TX,76065.0,900 GIFCO ROAD,ELLIS COUNTY,32.52,-97.01,327310.0,641861.54
1002527.0,ASH GROVE CEMENT COMPANY-DURKEE,DURKEE,OR,97905.0,33060 SHIRTTAIL CREEK ROAD,BAKER COUNTY,44.54,-117.42,327310.0,580120.7
1007552.0,ASH GROVE CEMENT COMPANY-Louisville,LOUISVILLE,NE,68037.0,16215 HWY. 50,CASS COUNTY,41.01,-96.15,327310.0,612350.18
1002531.0,ASH GROVE CEMENT COMPANY-MONTANA CITY,CLANCY,MT,59634.0,100 HIGHWAY 518,JEFFERSON COUNTY,46.54,-111.92,327310.0,322708.692
1002537.0,ASH GROVE CEMENT COMPANY-SEATTLE,SEATTLE,WA,98134.0,3801 EAST MARGINAL WAY SOUTH,KING COUNTY,47.57,-122.34,327310.0,367465.0
1007606.0,ASH GROVE CEMENT-FOREMAN,Foreman,AR,71836.0,4343 HWY 108,LITTLE RIVER COUNTY,33.69,-94.42,327310.0,883916.85
1007208.0,Alamo San Antonio Cement Plant,San Antonio,TX,78266.0,6055 West Green Mountain Road,BEXAR COUNTY,29.61,-98.38,327999.0,787291.84
1005458.0,Argos Cement LLC,NEWBERRY,FL,32669.0,4000 NORTHWEST COUNTY ROAD 235,ALACHUA COUNTY,29.69,-82.58,327310.0,808553.77
