Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.30,-96.54,562212,HH,Waste,"204,000.00",,"204,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"204,000.00",,,,N,N,N
1010040,110070082056,15-18565/15-18662,Hazard,KY,40701,4200 S. Hwy 15,PERRY COUNTY,37.22,-83.16,212112,FF,Other,"348,450.75",,"348,450.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"348,450.75",,,,,,N,N,N
1010085,110055519176,15-19015,Hazard,KY,41701,1845 S. KY HWY 15,PERRY,37.24,-83.18,212112,FF,Other,"41,513.00",,"41,513.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,513.00",,,,,,N,N,N
1000112,110019827286,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74.00,221112,"C,D",Power Plants,"68,984.74","68,914.60",32.00,38.14,,,,,,,,,,180.70,"68,804.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006394,,29-6 #2 Central Delivery Point,Blanco,NM,87412,,Rio Arriba,36.75,-107.45,213112,C,Petroleum and Natural Gas Systems,"10,872.56","10,861.60",5.00,5.96,,,,,,,,,,"10,872.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002885,,30-5 Compressor Station,Aztec,NM,87410,,Rio Arriba,36.81,-107.40,213112,C,Petroleum and Natural Gas Systems,"26,701.30","26,673.90",12.50,14.90,,,,,,,,,,"26,701.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002707,,31-6 Central Delivery Point,BLOOMFIELD,NM,87413,,Rio Arriba,36.84,-107.42,213112,C,Petroleum and Natural Gas Systems,"66,669.84","66,599.60",31.50,38.74,,,,,,,,,,"66,669.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003742,110010392887,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,COOK COUNTY,41.84,-87.92,562212,HH,Waste,"87,357.75",,"87,357.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,357.75",,,,N,N,N
1002718,110043815725,32-7 Central Delivery Point,Blanco,NM,87412,,SAN JUAN,36.93,-107.56,213112,C,Petroleum and Natural Gas Systems,"49,092.72","49,042.90",23.00,26.82,,,,,,,,,,"49,092.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002721,110070081839,32-8 #2 Central Delivery Point,Blanco,NM,87412,,SAN JUAN COUNTY,36.96,-107.66,213112,C,Petroleum and Natural Gas Systems,"49,628.32","49,578.00",23.50,26.82,,,,,,,,,,"49,628.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003188,110000599273,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,BROWN,31.67,-99.00,326113,"C,N",Minerals,"33,671.92","33,637.40",15.75,18.77,,,,,,,,,,"33,483.42",,,,,,,,,188.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005043,110035810799,3M CO,MAPLEWOOD,MN,55144,,RAMSEY COUNTY,44.95,-93.00,541712,C,Other,"72,407.03","72,332.20",34.00,40.83,,,,,,,,,,"72,407.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003739,110000589159,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,MARION,33.97,-87.90,326113,"C,N",Minerals,"31,178.79","31,148.10",14.00,16.69,,,,,,,,,,"29,696.29",,,,,,,,,"1,482.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007698,110000421776,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,MARATHON,44.95,-89.64,212313,C,Other,"27,702.30","27,673.80",13.00,15.50,,,,,,,,,,"27,702.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004206,110000367567,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,MORGAN,34.64,-87.04,325211,"C,L,OO","Chemicals,Industrial Gas Suppliers","57,279.46","54,327.50",25.75,30.99,74.00,,,,600.00,,1.22,"2,220.00",,"54,384.24",,,,,,,,"2,895.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006665,110013886875,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,ROCK ISLAND,41.76,-90.28,325998,"C,L,OO","Chemicals,Industrial Gas Suppliers","1,485,532.25","28,254.20",14.00,18.18,"84,204.18","825,213.71","24,484.92","27,100.32","478,600.26","4,244.28",3.00,"13,395.20",,"28,286.38",,,,,,,,"1,457,245.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004836,110000423667,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,10746 Innovation Rd,WASHINGTON COUNTY,44.79,-92.91,325998,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals","56,198.97","35,395.40",35.75,50.66,,"1,573.80","1,224.36",,"12,479.00",,,"5,440.00","2,273.00","34,392.61",,,,,,,,"20,717.16","1,089.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003408,110040995199,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72206,3110 WALTERS DRIVE,PULASKI COUNTY,34.71,-92.24,212399,C,Other,"21,306.22","21,284.30",10.00,11.92,,,,,,,,,,"21,306.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004914,110000425059,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,MCLEOD COUNTY,44.88,-94.36,322222,C,Pulp and Paper,"36,169.06","36,131.80",17.00,20.26,,,,,,,,,,"36,169.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004804,110000443805,3M NEVADA PLANT,NEVADA,MO,64772,2120 E. AUSTIN,VERNON COUNTY,37.83,-94.33,326113,C,Other,"28,930.99","28,901.40",13.50,16.09,,,,,,,,,,"28,930.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007408,110055511780,4 West Mine,Dilliner,PA,15327,625 Bald Hill Church Road,GREENE,39.76,-80.00,212112,FF,Other,"61,192.50",,"61,192.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,192.50",,,,,,N,N,N
1001106,110040862527,48th Street Peaking Station,HOLLAND,MI,49423,491 E 48TH ST,Allegan,42.76,-86.09,221112,"C,D",Power Plants,"29,574.24","29,544.10",13.75,16.39,,,,,,,,,,57.60,"29,516.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
