Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,
1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.30,-96.54,562212,HH,Waste,325416.25,,325416.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325416.25,,,,N,N,N,
1010040,110071159872,15-18565/15-18662,Hazard,KY,40701,1021 Tori Drive,PERRY COUNTY,37.27,-83.24,212115,FF,Other,51538.75,,51538.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51538.75,,,,,,N,N,N,
1000112,110071159492,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74.00,221112,"C,D",Power Plants,68839.396,68769.8,31.75,37.846,,,,,,,,,,331.4,68507.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1003742,110038508335,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,COOK COUNTY,41.83,-87.92,562212,"C,HH",Waste,106294.198,293.9,106000,0.298,,,,,,,,,,294.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105999.75,,,,N,N,N,
1003188,110000599273,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,31.67,-99.00,326113,"C,N",Minerals,29520.04,29489.9,13.75,16.39,,,,,,,,,,29389.74,,,,,,,,,130.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1005043,110071160392,3M CO,MAPLEWOOD,MN,55144,,RAMSEY COUNTY,44.95,-93.00,541715,C,Other,87926.142,87820.6,44.75,60.792,,,,,,,,,,87926.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1003739,110000589159,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,MARION COUNTY,33.97,-87.90,326113,"C,N",Minerals,29837.692,29808.1,13.5,16.092,,,,,,,,,,28827.692,,,,,,,,,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1007698,110000421776,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,MARATHON COUNTY,44.95,-89.64,212313,C,Other,41528.144,41485.4,19.5,23.244,,,,,,,,,,41528.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1006665,110013886875,3M Chemical Operations' Cordova Facility,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,ROCK ISLAND COUNTY,41.76,-90.28,325998,"C,L,OO","Chemicals,Industrial Gas Suppliers",650245.0238,35151.3,17.5,22.052,8192.479,527403.419,,1572.08,67132.02,5492.3238,14.45,5247.4,,35190.852,,,,,,,,615054.1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1004836,110000423667,3M Chemical Operations' Cottage Grove Facility,Cottage Grove,MN,55016,10746 Innovation Rd,WASHINGTON COUNTY,44.79,-92.91,325998,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals",24091.662,23309.9,10.5,13.112,,,,,100,197.1,1.05,460,,22111.812,,,,,,,,758.15,1221.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1004206,110000367567,3M Chemical Operations' Decatur Facility,DECATUR,AL,35609,1400 STATE DOCKS RD.,MORGAN COUNTY,34.64,-87.04,325211,"C,L,OO","Chemicals,Industrial Gas Suppliers",38181.6856,36887.4,17.25,21.158,74,,,,,,1.877596,1180,,36925.808,,,,,,,,1255.877596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1003408,110071161417,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72206,3110 WALTERS DRIVE,PULASKI COUNTY,34.71,-92.25,327999,C,Minerals,32759.776,32725.8,15.5,18.476,,,,,,,,,,32759.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1004914,110000425059,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,MCLEOD COUNTY,44.88,-94.36,326199,C,Other,37329.26,37290.9,17.5,20.86,,,,,,,,,,37329.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1004804,110000443805,3M NEVADA PLANT,NEVADA,MO,64772,2120 E. AUSTIN,VERNON COUNTY,37.83,-94.33,326113,C,Other,34976.268,34940.1,16.5,19.668,,,,,,,,,,34976.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1013282,,3M Pittsboro,Moncure,NC,27559,4191 Hwy 87 South,,35.66,-79.18,327999,C,Minerals,28141.944,28112.9,13.25,15.794,,,,,,,,,,28141.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001106,110040862527,48th Street Peaking Station,HOLLAND,MI,49423,491 E 48TH ST,Allegan,42.76,-86.09,221112,"C,D",Power Plants,55105.196,55049.3,25.5,30.396,,,,,,,,,,115.3,54989.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1004680,110013945062,58TH ST LF (MAIN COUNTY LF),MIAMI,FL,33178,8831 NW 58TH ST,MIAMI-DADE COUNTY,25.83,-80.35,562212,HH,Waste,56991.75,,56991.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56991.75,,,,N,N,N,
1000766,110064649901,59th Street,NEW YORK,NY,10019,850 12TH AVE,New York,40.77,-73.99,221330,C,Power Plants,201079.112,200865.7,96,117.412,,,,,,,,,,201079.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000767,110070834991,74th Street,NEW YORK,NY,10021,506 E 75TH ST,New York,40.77,-73.95,221330,C,Power Plants,253920.246,253582.5,136,201.746,,,,,,,,,,253920.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001033,110070116733,A B Brown Generating Station,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,Posey,37.91,-87.72,221112,D,Power Plants,3293747.068,3267724.5,9523.5,16499.068,,,,,,,,,,,3293747.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,
1012058,110071161547,"A.C.M.S., Inc.",Lake Panasoffkee,FL,33538,835 CR 529,SUMTER COUNTY,28.74,-82.09,562212,HH,Waste,313745.5,,313745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313745.5,,,,N,N,N,
1013527,,A.J. Mihm Generating Station,Pelkie,MI,49958,816017 Sarya Road,,46.79,-88.62,221112,C,Power Plants,112263.528,112147.9,52.75,62.878,,,,,,,,,,112263.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1002983,110018042562,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,LAKE COUNTY,42.30,-87.89,424210,C,Other,57247.084,57187.9,27,32.184,,,,,,,,,,57247.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1007514,110007806188,ABBVIE LTD.,BARCELONETA,PR,00617,RD 2 KM 58.0,BARCELONETA MUNICIPIO,18.43,-66.57,325412,C,Chemicals,63109.69,63030.5,33,46.19,,,,,,,,,,63109.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1004511,110000366817,ABC COKE,TARRANT,AL,35217,ONE RAILROAD AVENUE,JEFFERSON COUNTY,33.58,-86.78,324199,"C,Q",Metals,181168.22,181006.2,53.25,108.77,,,,,,,,,,148746.836,,,,,,,,,,,,32421.384,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1005353,110038367228,ABERDEEN ENERGY LLC,MINA,SD,57451,13435 370TH AVENUE,EDMUNDS COUNTY,45.44,-98.79,325193,C,Other,192048.576,191850.2,90.5,107.876,,,,,,,,,,192048.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1006971,110064337123,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,MD,21005,4304 Susquehanna Ave,HARFORD COUNTY,39.48,-76.14,928110,C,Other,100250.064,100116.2,54,79.864,,,,,,,,,,100250.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1002627,110027236621,ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),IA,50472,1372 STATELINE ROAD,MITCHELL COUNTY,43.50,-92.92,325193,"C,II","Other,Waste",151051.83,150886.4,80.5,84.93,,,,,,,,,49.2,151042.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,N,N,N,
1002685,,AC 857 A,Offshore,TX,00000,,,26.30,-94.90,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,205454.158,200728.2,4563.25,162.708,,,,,,,,,,192490.904,,,,,,,,,,,,,,,,,,12963.254,,,,,,,,,,,,,,,,,,,N,N,N,
1013701,110070931003,30-30 Gas Plant,Plains,TX,79355,2300 FM 1622,YOAKUM COUNTY,33.05,-102.89,211130,"C,PP,RR (RPT),W-PROC","Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2",40912.802,40742.7,155.5,14.602,,,,,,,,,,25686.504,,,,,,,,,,,,,,,,,,,15226.298,,,,,,,,,,,,,,,,,,N,N,N,
1012037,110063753656,50 Buttes Gas Plant,Gillette,WY,82716,3669 South Hwy 50,CAMPBELL COUNTY,43.85,-105.78,213112,"C,W-PROC",Petroleum and Natural Gas Systems,53615.51,51370.7,2216.5,28.31,,,,,,,,,,48880.216,,,,,,,,,,,,,,,,,,,4735.294,,,,,,,,,,,,,,,,,,N,N,N,
1006529,110013921435,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,LA,70531,611 PETAL RD,ACADIA PARISH,30.26,-92.53,562111,HH,Waste,46562.5,,46562.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46562.5,,,,N,N,N,
1004761,110013812918,ACE ETHANOL LLC,STANLEY,WI,54768,815 WEST MAPLE STREET,CHIPPEWA COUNTY,44.96,-90.96,325193,"C,PP","Other,Suppliers of CO2",75972.164,75893.8,35.75,42.614,,,,,,,,,,75972.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1005601,110007180709,ACME BRICK CO ELGIN PLANT,ELGIN,TX,78621,1776 OLD MCDADE RD,BASTROP COUNTY,30.33,-97.29,327120,C,Minerals,24461.508,24436.3,11.5,13.708,,,,,,,,,,24461.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1005046,110007177722,ACME GYPSUM FACILITY,QUANAH,TX,79252,4164 HIGHWAY 285,HARDEMAN COUNTY,34.32,-99.82,327420,C,Minerals,37964.008,37925.1,17.75,21.158,,,,,,,,,,37964.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1002731,110071161104,ADA COGENERATION,ADA,MI,49355,7575 FULTON STREET EAST,KENT COUNTY,42.93,-85.43,221112,C,Power Plants,126690.172,126559.2,59.75,71.222,,,,,,,,,,126690.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1003752,110040089604,"ADA Carbon Solutions (Red River), LLC",Coushatta,LA,71019,201 Red River Mine Road,RED RIVER PARISH,32.01,-93.39,325998,C,Chemicals,321029.94,321027.2,1.25,1.49,,,,,,,,,,321029.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,
1003422,110008978552,ADKINS ENERGY LLC,LENA,IL,61048,4350 WEST GALENA ROAD,STEPHENSON COUNTY,42.36,-89.80,325193,C,Other,93889.296,93792.3,44.25,52.746,,,,,,,,,,93889.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1002154,110013325507,ADM - MANKATO,MANKATO,MN,56001,2019 3RD AVENUE,BLUE EARTH COUNTY,44.19,-94.00,311225,C,Other,106717.082,106155,209.25,352.832,,,,,,,,,,106717.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
