Year,Production,Imports,Exports,Apparent consumption,Unit value ($/t),Unit value (98$/t),World production,,,,,,,,
1902,"452,000",NA,NA,"452,000",0.71,13.30,NA,,,,,,,,
1903,"747,000",NA,NA,"747,000",0.80,14.50,NA,,,,,,,,
1904,"5,280,000",NA,NA,"5,280,000",0.47,8.50,NA,,,,,,,,
1905,"16,400,000",NA,NA,"16,400,000",0.45,8.14,NA,,,,,,,,
1906,"24,400,000",NA,NA,"24,400,000",0.35,6.33,NA,,,,,,,,
1907,"32,100,000",NA,NA,"32,100,000",0.31,5.41,NA,,,,,,,,
1908,"30,000,000",NA,NA,"30,000,000",0.34,6.15,NA,,,,,,,,
1909,"49,000,000",NA,NA,"49,000,000",0.30,5.42,NA,,,,,,,,
1910,"56,900,000",NA,NA,"56,900,000",0.29,5.06,NA,,,,,,,,
1911,"53,700,000",NA,NA,"53,700,000",0.30,5.24,NA,,,,,,,,
1912,"53,800,000",NA,NA,"53,800,000",0.33,5.56,NA,,,,,,,,
1913,"65,100,000",NA,NA,"65,100,000",0.29,4.77,NA,,,,,,,,
1914,"65,500,000",NA,NA,"65,500,000",0.29,4.71,NA,,,,,,,,
1915,"61,800,000",NA,NA,"61,800,000",0.30,4.82,NA,,,,,,,,
1916,"71,800,000",NA,NA,"71,800,000",0.32,4.78,NA,,,,,,,,
1917,"60,400,000",NA,NA,"60,400,000",0.42,5.34,NA,,,,,,,,
1918,"47,000,000","503,000",NA,"47,500,000",0.54,5.84,NA,,,,,,,,
1919,"56,300,000","542,000",NA,"56,900,000",0.62,5.84,NA,,,,,,,,
1920,"64,800,000","1,110,000",NA,"65,900,000",0.76,6.18,NA,,,,,,,,
1921,"67,300,000","823,000",NA,"68,100,000",0.73,6.65,NA,,,,,,,,
1922,"78,100,000","409,000","162,000","78,300,000",0.68,6.61,NA,,,,,,,,
1923,"117,000,000","431,000","250,000","117,000,000",0.65,6.21,NA,,,,,,,,
1924,"132,000,000","630,000","142,000","133,000,000",0.64,6.10,NA,,,,,,,,
1925,"145,000,000","481,000","193,000","146,000,000",0.65,6.05,NA,,,,,,,,
1926,"155,000,000","852,000","193,000","156,000,000",0.63,5.81,NA,,,,,,,,
1927,"169,000,000","658,000","191,000","169,000,000",0.61,5.73,NA,,,,,,,,
