Mine ID,Mine Name_x,Commodity,Mine Status,Status Date,Type of Mine,Mine Name_y,Street,City,State,Zip Code
100011,Imerys Sylacauga Operations,"Crushed, Broken Marble",Active,11/14/1975,Surface,Imerys Sylacauga Operations,1301 Gene E Stewart Blvd.,Sylacauga,Alabama,35151.0
100535,"Core Aggregates, LLC",Construction Sand and Gravel,Active,1/7/1976,Surface,"Core Aggregates, LLC",498 Sand Pit Rd,Clayhatchee,Alabama,36322.0
100578,Bellwood Sand Plant,Construction Sand and Gravel,Active,4/1/1977,Surface,Bellwood Sand Plant,822 Sandpit Road,Chancellor,Alabama,36316.0
100584,BRICKYARD PLANT,Construction Sand and Gravel,Abandoned,12/5/2007,Surface,BRICKYARD PLANT,1443 Brickyard Road,Phoenix City,Alabama,36867.0
100616,Spruce Pine Sand & Gravel,Construction Sand and Gravel,Abandoned,1/8/2003,Surface,Spruce Pine Sand & Gravel,710 Sandusky Rd.,Phil Campbell,Alabama,35581.0
100617,Hurtsboro Plant,Construction Sand and Gravel,Active,2/26/1976,Surface,Hurtsboro Plant,12701 N. Hwy 51 South,Hurtsboro,Alabama,36860.0
100622,Jemison Mine And Plant,Construction Sand and Gravel,Abandoned,11/10/2015,Surface,Jemison Mine And Plant,910 Highway 38,Jemison,Alabama,35085.0
100678,Cosby #1 Pit,Construction Sand and Gravel,Active,2/28/1972,Surface,Cosby #1 Pit,637  River Road,Selma,Alabama,36701.0
100697,Tuscaloosa Plant,Construction Sand and Gravel,Active,12/27/1984,Surface,Tuscaloosa Plant,2400 Crabtree Road,Tuscaloosa,Alabama,35405.0
100703,Garris Pit,Construction Sand and Gravel,Abandoned,8/19/2008,Facility,Garris Pit,Hwy 43 North,Leroy,Alabama,36548.0
100714,Waugh Plant,Construction Sand and Gravel,Abandoned,7/29/2005,Surface,Waugh Plant,2301 Alexander Road,Waugh,Alabama,36064.0
100719,GILMORE PIT,Construction Sand and Gravel,Abandoned,2/19/2008,Surface,GILMORE PIT,Hwy 41,Wallace,Alabama,36526.0
100894,Russellville Sand Pit,Construction Sand and Gravel,Abandoned,4/24/2009,Surface,Russellville Sand Pit,745 Sand Plant Road,Phil Campbell,Alabama,35581.0
101138,Scott Pit,Construction Sand and Gravel,Active,11/8/1993,Surface,Scott Pit,1322 Maron Spillway Road,Elmore,Alabama,36025.0
101832,Pettis Pit,Construction Sand and Gravel,Abandoned,1/27/2020,Surface,Pettis Pit,Pettis Lane,Wallace,Alabama,36426.0
101983,Smith Sand Company Inc,Construction Sand and Gravel,Active,8/20/2010,Surface,Smith Sand Company Inc,6570 Spice Pond Road,Eight Mile,Alabama,36613.0
102087,Cypress Pit,Construction Sand and Gravel,Active,12/27/1984,Surface,Cypress Pit,1235 Cuttoff Road,Moundville,Alabama,35474.0
102196,CHATTAHOOCHEE PIT,Construction Sand and Gravel,Abandoned,10/22/2007,Surface,CHATTAHOOCHEE PIT,Hwy. 95,Columbia,Alabama,36319.0
102200,Robison Mine & Mill,Construction Sand and Gravel,Abandoned,9/6/2023,Surface,Robison Mine & Mill,3036 Dinky Line Road,Detroit,Alabama,35552.0
102529,Atmore Sand and Gravel,Construction Sand and Gravel,Abandoned,1/25/2013,Surface,Atmore Sand and Gravel,1090 Old Jack Spings Rd.,Atmore,Alabama,36502.0
102563,Winfield Yard,Construction Sand and Gravel,Abandoned,1/6/2014,Surface,Winfield Yard,700 Blue Ridge Rd,Winfield,Alabama,35594.0
102587,Scott Callen Sand & Gravel,Construction Sand and Gravel,Abandoned,3/27/2012,Surface,Scott Callen Sand & Gravel,879 US Hwy 80 East,Lowndes,Alabama,36752.0
102606,COGLE PIT,Construction Sand and Gravel,Active,11/9/1989,Surface,COGLE PIT,3163 Dallas Rd 17,Selma,Alabama,36701.0
102642,BRADFORD GRAVEL PIT,Construction Sand and Gravel,Abandoned,5/13/2004,Surface,BRADFORD GRAVEL PIT,Kansas Road,Grove Hill,Alabama,36541.0
102738,West Alabama Sand & Gravel,Construction Sand and Gravel,Active,8/25/1987,Surface,West Alabama Sand & Gravel,146 County Road 136,Fayette,Alabama,35555.0
102757,Plaster Mine,Construction Sand and Gravel,Abandoned,5/20/2020,Surface,Plaster Mine,2501 Fulton Drive,Autaugaville,Alabama,36003.0
102794,Boe Road Pit,Construction Sand and Gravel,Abandoned,10/4/2021,Surface,Boe Road Pit,Boe Road,St Elmo,Alabama,36568.0
102810,OAKMULGEE  CRUSHER,Construction Sand and Gravel,Active,7/22/2024,Surface,OAKMULGEE  CRUSHER,1000 SUNNY LANE,SELMA,Alabama,36701.0
102814,Phenix City Mine,Construction Sand and Gravel,Active,2/7/2025,Surface,Phenix City Mine,1371 Brickyard Rd,Phenix City,Alabama,36867.0
102822,P & R Mining,Construction Sand and Gravel,Active,8/2/2006,Surface,P & R Mining,2068 Jack Rd.,Atmore,Alabama,36502.0
