Mine ID,Mine Name,Mine Status,Type of Mine,Street,City,State,Zip Code,Latitude,Longitude
100011,Imerys Sylacauga Operations,Active,Surface,1301 Gene E Stewart Blvd.,Sylacauga,Alabama,35151.0,33.156325844828,-86.297580617235
100578,Bellwood Sand Plant,Active,Surface,822 Sandpit Road,Chancellor,Alabama,36316.0,31.150026314279,-85.801232887583
100678,Cosby #1 Pit,Active,Surface,637  River Road,Selma,Alabama,36701.0,32.39956723136,-86.99113896991
100697,Tuscaloosa Plant,Active,Surface,2400 Crabtree Road,Tuscaloosa,Alabama,35405.0,33.141113251777,-87.562817862137
101983,Smith Sand Company Inc,Active,Surface,6570 Spice Pond Road,Eight Mile,Alabama,36613.0,30.836739447249,-88.195271424351
102606,COGLE PIT,Active,Surface,3163 Dallas Rd 17,Selma,Alabama,36701.0,32.346347737237,-87.059185640327
102738,West Alabama Sand & Gravel,Active,Surface,146 County Road 136,Fayette,Alabama,35555.0,33.758629534585,-87.789653928679
102810,OAKMULGEE  CRUSHER,Active,Surface,1000 SUNNY LANE,SELMA,Alabama,36701.0,32.399879560664,-87.09738376141
102814,Phenix City Mine,Active,Surface,1371 Brickyard Rd,Phenix City,Alabama,36867.0,32.408278014394,-85.00149069171
103047,Blount Springs Sand Plant,Active,Surface,9741 US Hwy 31 South,Hayden,Alabama,35079.0,33.943722756061,-86.782949748765
103084,City Pit,Active,Surface,2155 Riverside Road,Montgomery,Alabama,36117.0,32.416899245284,-86.166856818566
103130,B & R Sand & Gravel,Active,Surface,5198 Alabama River Pkwy.,Montgomery,Alabama,36110.0,32.437595069985,-86.312969223919
103159,Rueggs Pit,Active,Surface,13406 Co Rd 65,Foley,Alabama,36535.0,30.420773337068,-87.717092741582
103223,White City Plant,Active,Surface,1985 Co. Rd. 123,Marbury,Alabama,36051.0,32.674223621861,-86.585738035203
103241,"Little Hawk Mining, LLC",Intermittent,Surface,1449 Experiment Farm Road,Monroeville,Alabama,36460.0,31.475082768569,-87.324698027171
103324,"Baldwin Sand & Gravel, LLC.",Active,Surface,8303 Roy Waters Road,Foley,Alabama,36535.0,30.345947821756,-87.742523226207
103327,Coosa Plant,Active,Surface,246 Boatfield Lane,Gadsden,Alabama,35901.0,34.038430394956,-85.839408946999
103331,Landsdown,Active,Surface,170 County Road 40E,"Lowndesboro,",Alabama,36752.0,32.324707682857,-86.615975800776
103352,Smith Mine,Active,Surface,7668 County Road 24,Clanton,Alabama,35045.0,32.740628739779,-86.599713816578
103488,QUALITY SAND & GRAVEL LLC,TempIdle,Surface,723 CO RD 802,IDER,Alabama,35981.0,34.751540653555,-85.639460077499
103544,SDAC OZ,Active,Surface,815 Hunter Loop Road,Montgomery,Alabama,36108.0,32.360326556992,-86.393563621663
103546,Pearson Pit,Active,Surface,650 COUNTY ROAD 19 NORTH,AUTAUGAVILLE,Alabama,36067.0,32.445935550635,-86.665503954478
103579,Ground Works Materials,Active,Surface,566 tuberose lane,Deatsville ,Alabama,36022.0,32.653004557586,-86.373867503954
200632,SUN CITY PLANT,Active,Surface,14521 North 115th Avenue,El Mirage,Arizona,85335.0,33.616593647657,-112.307465171897
200717,CEMEX - CASA GRANDE,Active,Surface,2305 S. Rooftile Road,Casa Grande,Arizona,85122.0,32.85993953251,-111.802322573613
200728,Tri County Materials Inc.,Active,Surface,3215 US Highway 191 South,Safford,Arizona,85546.0,32.80217546686,-109.707646431951
200758,Silver Creek,Intermittent,Surface,1950 BULLHEAD PARKWAY,BULLHEAD CITY,Arizona,86442.0,35.109684745452,-114.545246904568
200988,CEMEX - 19TH AVE,Active,Surface,3640 S 19th Ave,Phoenix,Arizona,85009.0,33.413906868201,-112.099704021813
201062,Hualapai Pit,Active,Surface,3125 E Rosslynn Dr,Kingman,Arizona,86401.0,35.17736366982,-114.005277825444
201217,0SCREENING PLANT & SHOP,Intermittent,Surface,10333 E McDowell,Scottsdale,Arizona,85256.0,33.465719379911,-111.859777621157
201221,Airport Pit,Active,Surface,1234 E AIRPORT RD,SAFFORD,Arizona,85546.0,32.856829656939,-109.688861076668
201222,Yavapai Plant 22,Active,Surface,5899 WILKINSON DRIVE,PRESCOTT,Arizona,86301.0,34.642752132166,-112.414456409681
201249,CEMEX - GLOBE/BIXBY,Active,Surface,401 E Hoopes Road,Globe,Arizona,85501.0,33.449165907777,-110.826942455057
201315,OSBORN WASH,Active,Surface,30600 Riverside Dr.,Parker,Arizona,85344.0,34.176041999348,-114.243712338115
201433,Mine #1,Intermittent,Surface,3914 E. Presidio Street,Mesa,Arizona,85215.0,33.472852158129,-111.745274442143
202013,Star Placer dba:  Big Bug Sand & Gravel,Active,Surface,11501 E Finley Rd,Mayer,Arizona,86333.0,34.428690465401,-112.258539405337
202062,CEMEX - SIERRA VISTA,Active,Surface,5231 E Buffalo Soldier Trail,Sierra Vista,Arizona,85635.0,31.511104367676,-110.246339684039
