Mine ID,Mine Name,Street,City,State,Zip Code
0100011,Imerys Sylacauga Operations,1301 Gene E Stewart Blvd.,Sylacauga,Alabama,35151
0100535,"Core Aggregates, LLC",498 Sand Pit Rd,Clayhatchee,Alabama,36322
0100538,Parker Mine,N/A,N/A,Alabama,N/A
0100541,Kennamer Pit,N/A,N/A,Alabama,N/A
0100542,Hamilton Pit,N/A,N/A,Alabama,N/A
0100543,Tate Pit,N/A,N/A,Alabama,N/A
0100546,Excel Pit,N/A,N/A,Alabama,N/A
0100575,Montgomery Plant,N/A,N/A,Alabama,N/A
0100576,PIT #1,N/A,N/A,Alabama,N/A
0100577,American Mine,N/A,N/A,Alabama,N/A
0100578,Bellwood Sand Plant,822 Sandpit Road,Chancellor,Alabama,36316
0100580,Oliver Mine,N/A,N/A,Alabama,N/A
0100583,Woodstock Mine,N/A,N/A,Alabama,N/A
0100584,BRICKYARD PLANT,1443 Brickyard Road,Phoenix City,Alabama,36867
0100586,Columbia Pit,N/A,N/A,Alabama,N/A
0100587,Fremont Mine,N/A,N/A,Alabama,N/A
0100590,HUNTER STATION DIVISION,N/A,N/A,Alabama,N/A
0100593,FAYEET PIT,N/A,N/A,Alabama,N/A
0100594,Akron Pit,N/A,N/A,Alabama,N/A
0100598,Lowndes Pit,N/A,N/A,Alabama,N/A
0100599,Millsap Pit And Plant,N/A,N/A,Alabama,N/A
0100600,Sumter County Pit No I,N/A,N/A,Alabama,N/A
0100602,Eufaula Mine And Mill,N/A,N/A,Alabama,N/A
0100604,Trapptown No 1,N/A,N/A,Alabama,N/A
0100605,Dredge Albatross,N/A,N/A,Alabama,N/A
0100611,Bowers And Burkette Pit,N/A,N/A,Alabama,N/A
0100612,Southland Pit,N/A,N/A,Alabama,N/A
0100616,Spruce Pine Sand & Gravel,710 Sandusky Rd.,Phil Campbell,Alabama,35581
0100617,Hurtsboro Plant,12701 N. Hwy 51 South,Hurtsboro,Alabama,36860
0100619,Shorter Mine And Mill,N/A,N/A,Alabama,N/A
0100622,Jemison Mine And Plant,910 Highway 38,Jemison,Alabama,35085
0100673,Trussville Pit,N/A,N/A,Alabama,N/A
0100676,MT. MEIGS S&G,N/A,N/A,Alabama,N/A
0100677,Johnson Pit,N/A,N/A,Alabama,N/A
0100678,Cosby #1 Pit,637  River Road,Selma,Alabama,36701
0100688,Hunter Bend Mine,N/A,N/A,Alabama,N/A
0100689,ESCAMBIA PITS,N/A,N/A,Alabama,N/A
0100691,Henderson Dredge,N/A,N/A,Alabama,N/A
0100695,Jackson Creek Pit,N/A,N/A,Alabama,N/A
0100697,Tuscaloosa Plant,2400 Crabtree Road,Tuscaloosa,Alabama,35405
0100703,Garris Pit,Hwy 43 North,Leroy,Alabama,36548
0100713,Silica Ii,N/A,N/A,Alabama,N/A
0100714,Waugh Plant,2301 Alexander Road,Waugh,Alabama,36064
0100718,Collins Pit,N/A,N/A,Alabama,N/A
0100719,GILMORE PIT,Hwy 41,Wallace,Alabama,36526
0100752,Patton Pit Or Patton Pit & Crusher,N/A,N/A,Alabama,N/A
0100774,Laidlaw Pit No I,N/A,N/A,Alabama,N/A
0100843,Mobile Sand Pit,N/A,N/A,Alabama,N/A
0100844,H E Busby Pit,N/A,N/A,Alabama,N/A
0100884,Newton Pit,N/A,N/A,Alabama,N/A
0100894,Russellville Sand Pit,745 Sand Plant Road,Phil Campbell,Alabama,35581
0100903,Milstead Pit And Plant,N/A,N/A,Alabama,N/A
0100994,Tommy Graham Pit No 2,N/A,N/A,Alabama,N/A
0100995,Snow Pit,N/A,N/A,Alabama,N/A
0100996,Tommy Graham Pit No 1 Camp No 1,N/A,N/A,Alabama,N/A
0101057,Little H Pit,N/A,N/A,Alabama,N/A
0101066,Connor Pit,N/A,N/A,Alabama,N/A
0101090,Dredge Shearwater,N/A,N/A,Alabama,N/A
0101099,C & B Wagar Pit,N/A,N/A,Alabama,N/A
0101101,White Hall Pit Or White Hall Plant,N/A,N/A,Alabama,N/A
0101104,Old Alabama Pit,N/A,N/A,Alabama,N/A
0101113,Sumter Sand & Gravel,N/A,N/A,Alabama,N/A
