Mine ID,Mine Name,Commodity,Mine Status,Status Date,Type of Mine
0100011,Imerys Sylacauga Operations,"Crushed, Broken Marble",Active,11/14/1975,Surface
0100535,"Core Aggregates, LLC",Construction Sand and Gravel,Active,1/7/1976,Surface
0100538,Parker Mine,Construction Sand and Gravel,Abandoned,10/17/1979,Surface
0100541,Kennamer Pit,Construction Sand and Gravel,Abandoned,6/11/1979,Surface
0100542,Hamilton Pit,Construction Sand and Gravel,Abandoned,7/15/1992,Surface
0100543,Tate Pit,Construction Sand and Gravel,Abandoned,3/14/1986,Surface
0100546,Excel Pit,Construction Sand and Gravel,Abandoned,5/15/1989,Surface
0100575,Montgomery Plant,Construction Sand and Gravel,Abandoned,10/5/1994,Surface
0100576,PIT #1,Construction Sand and Gravel,Abandoned,6/8/1998,Surface
0100577,American Mine,Construction Sand and Gravel,Abandoned,4/9/1979,Surface
0100578,Bellwood Sand Plant,Construction Sand and Gravel,Active,4/1/1977,Surface
0100580,Oliver Mine,Construction Sand and Gravel,Abandoned,3/8/1994,Surface
0100583,Woodstock Mine,Construction Sand and Gravel,Abandoned,7/21/1977,Surface
0100584,BRICKYARD PLANT,Construction Sand and Gravel,Abandoned,12/5/2007,Surface
0100586,Columbia Pit,Construction Sand and Gravel,Abandoned,7/10/1978,Surface
0100587,Fremont Mine,Construction Sand and Gravel,Abandoned,8/6/1984,Surface
0100590,HUNTER STATION DIVISION,Construction Sand and Gravel,Abandoned,12/1/2001,Surface
0100593,FAYEET PIT,Construction Sand and Gravel,Abandoned,8/26/1997,Surface
0100594,Akron Pit,Construction Sand and Gravel,Abandoned,7/7/1977,Surface
0100598,Lowndes Pit,Construction Sand and Gravel,Abandoned,12/14/1982,Surface
0100599,Millsap Pit And Plant,Construction Sand and Gravel,Abandoned,4/2/1984,Surface
0100600,Sumter County Pit No I,Construction Sand and Gravel,Abandoned,11/16/1987,Surface
0100602,Eufaula Mine And Mill,Construction Sand and Gravel,Abandoned,2/28/1980,Surface
0100604,Trapptown No 1,Construction Sand and Gravel,Abandoned,2/18/1987,Surface
0100605,Dredge Albatross,Construction Sand and Gravel,Abandoned,7/15/1993,Surface
0100611,Bowers And Burkette Pit,Construction Sand and Gravel,Abandoned,5/22/1978,Surface
0100612,Southland Pit,Construction Sand and Gravel,Abandoned,9/29/1989,Surface
0100616,Spruce Pine Sand & Gravel,Construction Sand and Gravel,Abandoned,1/8/2003,Surface
0100617,Hurtsboro Plant,Construction Sand and Gravel,Active,2/26/1976,Surface
0100619,Shorter Mine And Mill,Construction Sand and Gravel,Abandoned,9/15/1978,Surface
0100622,Jemison Mine And Plant,Construction Sand and Gravel,Abandoned,11/10/2015,Surface
0100673,Trussville Pit,Construction Sand and Gravel,Abandoned,3/5/1979,Surface
0100676,MT. MEIGS S&G,Construction Sand and Gravel,Abandoned,1/19/1999,Surface
0100677,Johnson Pit,Construction Sand and Gravel,Abandoned,4/24/1979,Surface
0100678,Cosby #1 Pit,Construction Sand and Gravel,Active,2/28/1972,Surface
0100688,Hunter Bend Mine,Construction Sand and Gravel,Abandoned,5/1/1979,Surface
0100689,ESCAMBIA PITS,Construction Sand and Gravel,Abandoned,2/28/1997,Surface
0100691,Henderson Dredge,Construction Sand and Gravel,Abandoned,1/9/1978,Surface
0100695,Jackson Creek Pit,Construction Sand and Gravel,Abandoned,11/12/1982,Surface
0100697,Tuscaloosa Plant,Construction Sand and Gravel,Active,12/27/1984,Surface
0100703,Garris Pit,Construction Sand and Gravel,Abandoned,8/19/2008,Facility
0100713,Silica Ii,Construction Sand and Gravel,Abandoned,8/28/1987,Surface
0100714,Waugh Plant,Construction Sand and Gravel,Abandoned,7/29/2005,Surface
0100718,Collins Pit,Construction Sand and Gravel,Abandoned,1/30/1979,Surface
0100719,GILMORE PIT,Construction Sand and Gravel,Abandoned,2/19/2008,Surface
0100752,Patton Pit Or Patton Pit & Crusher,Construction Sand and Gravel,Abandoned,8/19/1988,Surface
0100774,Laidlaw Pit No I,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
0100843,Mobile Sand Pit,Construction Sand and Gravel,Abandoned,8/6/1984,Surface
0100844,H E Busby Pit,Construction Sand and Gravel,Abandoned,10/8/1980,Surface
0100884,Newton Pit,Construction Sand and Gravel,Abandoned,3/15/1995,Surface
0100894,Russellville Sand Pit,Construction Sand and Gravel,Abandoned,4/24/2009,Surface
0100903,Milstead Pit And Plant,Construction Sand and Gravel,Abandoned,8/16/1985,Surface
0100994,Tommy Graham Pit No 2,Construction Sand and Gravel,Abandoned,5/17/1978,Surface
0100995,Snow Pit,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
0100996,Tommy Graham Pit No 1 Camp No 1,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
0101057,Little H Pit,Construction Sand and Gravel,Abandoned,5/8/1979,Surface
0101066,Connor Pit,Construction Sand and Gravel,Abandoned,4/30/1981,Surface
0101090,Dredge Shearwater,Construction Sand and Gravel,Abandoned,9/13/1993,Surface
0101099,C & B Wagar Pit,Construction Sand and Gravel,Abandoned,1/15/1991,Surface
0101101,White Hall Pit Or White Hall Plant,Construction Sand and Gravel,Abandoned,10/22/1982,Surface
0101104,Old Alabama Pit,Construction Sand and Gravel,Abandoned,10/8/1982,Surface
0101113,Sumter Sand & Gravel,Construction Sand and Gravel,Abandoned,1/6/1994,Surface
0101114,Elmore Pits,Construction Sand and Gravel,Abandoned,6/26/1978,Surface
0101138,Scott Pit,Construction Sand and Gravel,Active,11/8/1993,Surface
0101237,Pierce Pit & Plant,Construction Sand and Gravel,Abandoned,9/30/1988,Surface
0101263,Laidlaw Pit No 2,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
0101271,Beasley Pit,Construction Sand and Gravel,Abandoned,4/10/1978,Surface
0101280,Bennett Pit,Construction Sand and Gravel,Abandoned,1/14/1983,Surface
0101283,John H Maples Hauling Company Incorporat,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
0101294,Riley Pit,Construction Sand and Gravel,Abandoned,8/18/1986,Surface
0101304,HOWELLS FERRY PIT,Construction Sand and Gravel,Abandoned,8/20/2001,Surface
0101324,Mcconnell And Moore Pit,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
0101325,Joe Moore Pit,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
0101353,WALTER WEST DREDGE,Construction Sand and Gravel,Abandoned,4/7/1998,Surface
0101397,Nicholson Pit,Construction Sand and Gravel,Abandoned,9/20/1978,Surface
0101412,BAKER TERMINAL,Construction Sand and Gravel,Abandoned,10/1/2002,Surface
0101426,Pierre Dredge,Construction Sand and Gravel,Abandoned,12/16/1980,Surface
0101460,Repton Pit,Construction Sand and Gravel,Abandoned,4/3/1979,Surface
0101503,Whorton Bend Pit,Construction Sand and Gravel,Abandoned,8/28/1978,Surface
0101523,Robison Mine And Mill,Construction Sand and Gravel,Abandoned,4/21/1980,Surface
0101524,Mixon Pit,Construction Sand and Gravel,Abandoned,7/28/1981,Surface
0101538,Alabama Washer,Construction Sand and Gravel,Abandoned,1/10/1978,Surface
0101540,Pit No 1,Construction Sand and Gravel,Abandoned,5/8/1979,Surface
0101571,Cooper Materials Incorporated,Construction Sand and Gravel,Abandoned,12/21/1978,Surface
0101572,Hargett Pit,Construction Sand and Gravel,Abandoned,8/14/1981,Surface
0101642,Gann Pit,Construction Sand and Gravel,Abandoned,4/24/1979,Surface
0101695,JACKSON PIT,Construction Sand and Gravel,Abandoned,10/22/1999,Surface
0101714,Froggy Bottom Pit And Plant,Construction Sand and Gravel,Abandoned,6/30/1978,Surface
0101719,Bell Pit,Construction Sand and Gravel,Abandoned,8/31/1982,Surface
0101723,Carroll Pit,Construction Sand and Gravel,Abandoned,5/6/1980,Surface
0101724,Hubberville Plant And Pit,Construction Sand and Gravel,Abandoned,6/29/1979,Surface
0101725,Holiday Pit,Construction Sand and Gravel,Abandoned,10/6/1982,Surface
0101751,Holly Or Holley Pit,Construction Sand and Gravel,Abandoned,8/27/1984,Surface
0101753,Thetford Pit,Construction Sand and Gravel,Abandoned,8/31/1982,Surface
0101781,No 1 Pit,Construction Sand and Gravel,Abandoned,7/31/1978,Surface
0101790,Mitylene Pit,Construction Sand and Gravel,Abandoned,8/25/1989,Surface
0101798,Ward Pit,Construction Sand and Gravel,Abandoned,12/29/1980,Surface
0101826,Pit No 1,Construction Sand and Gravel,Abandoned,7/30/1981,Surface
0101832,Pettis Pit,Construction Sand and Gravel,Abandoned,1/27/2020,Surface
0101838,Sand Plant,Construction Sand and Gravel,Abandoned,7/28/1988,Surface
0101841,Osborn Pit No I,Construction Sand and Gravel,Abandoned,10/22/1982,Surface
0101893,#1 DREDGE,Construction Sand and Gravel,Abandoned,4/28/2004,Surface
0101979,Laidlaw Pit No 3,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
0101982,Nichols Material,Construction Sand and Gravel,Abandoned,2/15/1983,Surface
0101983,Smith Sand Company Inc,Construction Sand and Gravel,Active,8/20/2010,Surface
0101984,Monroe Concrete,Construction Sand and Gravel,Abandoned,7/31/1979,Surface
0101997,Monroe Concrete Pit,Construction Sand and Gravel,Abandoned,3/6/1981,Surface
0102006,Evans Pit,Construction Sand and Gravel,Abandoned,10/1/1979,Surface
0102007,Wares Ferry Road Pit,Construction Sand and Gravel,Abandoned,11/22/1982,Surface
0102008,Bulk Materials Plant,Construction Sand and Gravel,Abandoned,10/18/1982,Surface
0102009,Dearman Mining And Dredging,Construction Sand and Gravel,Abandoned,11/22/1982,Surface
0102010,Kendrick Pit,Construction Sand and Gravel,Abandoned,10/25/1982,Surface
0102018,Number 2 Pit,Construction Sand and Gravel,Abandoned,2/25/1980,Surface
0102027,Mid South Sand And Gravel Incorporated,Construction Sand and Gravel,Abandoned,8/31/1979,Surface
0102040,Parker 1,Construction Sand and Gravel,Abandoned,2/3/1983,Surface
0102041,Booth,Construction Sand and Gravel,Abandoned,4/6/1989,Surface
0102042,Coosada Ferry Pit,Construction Sand and Gravel,Abandoned,12/14/1982,Surface
0102047,Becker Sand & Gravel Tyler Plant,Construction Sand and Gravel,Abandoned,3/20/1984,Surface
0102051,Pit No 1,Construction Sand and Gravel,Abandoned,4/15/1981,Surface
0102070,Austin Pit,Construction Sand and Gravel,Abandoned,11/4/1985,Surface
0102087,Cypress Pit,Construction Sand and Gravel,Active,12/27/1984,Surface
0102091,Finch Pit,Construction Sand and Gravel,Abandoned,2/26/1981,Surface
0102093,BALDWIN SAND & GRAVEL - PIT #4,Construction Sand and Gravel,Abandoned,2/1/2000,Surface
0102094,Nectar Pit,Construction Sand and Gravel,Abandoned,12/3/1982,Surface
0102099,Pit No 1,Construction Sand and Gravel,Abandoned,4/17/1989,Surface
0102100,Paul Pit,Construction Sand and Gravel,Abandoned,10/22/1984,Surface
0102104,Hyatt Pit,Construction Sand and Gravel,Abandoned,4/2/1984,Surface
0102105,Goodway Pit,Construction Sand and Gravel,Abandoned,7/7/1981,Surface
0102106,Conecuh Pit,Construction Sand and Gravel,Abandoned,5/9/1988,Surface
0102108,Plant No 2,Construction Sand and Gravel,Abandoned,6/30/1980,Surface
0102125,Pit No 1,Construction Sand and Gravel,Abandoned,3/22/1988,Surface
0102133,Gulf States Pit,Construction Sand and Gravel,Abandoned,6/3/1985,Surface
0102139,D & J Sand & Gravel,Construction Sand and Gravel,Abandoned,11/14/1988,Surface
0102141,Pit No 1 Or Hamilton Pit,Construction Sand and Gravel,Abandoned,5/21/1981,Surface
0102157,Argo Pit,Construction Sand and Gravel,Abandoned,5/12/1980,Surface
0102168,Ballplay,Construction Sand and Gravel,Abandoned,10/30/1996,Surface
0102171,OXFORD CRUSHER,Construction Sand and Gravel,Abandoned,11/3/1998,Facility
0102179,Parker Pit,Construction Sand and Gravel,Abandoned,8/1/1980,Surface
0102195,Smith Pit,Construction Sand and Gravel,Abandoned,5/25/1989,Surface
0102196,CHATTAHOOCHEE PIT,Construction Sand and Gravel,Abandoned,10/22/2007,Surface
0102199,Jackson Pit No 2,Construction Sand and Gravel,Abandoned,7/8/1981,Surface
0102200,Robison Mine & Mill,Construction Sand and Gravel,Abandoned,9/6/2023,Surface
0102203,Lenox No 1,Construction Sand and Gravel,Abandoned,11/17/1980,Surface
0102204,Ivey Pit,Construction Sand and Gravel,Abandoned,1/17/1986,Surface
0102209,Chapman Pit,Construction Sand and Gravel,Abandoned,6/30/1990,Surface
0102238,Plantersville Pit,Construction Sand and Gravel,Abandoned,6/9/1995,Surface
0102239,NICHOLS PLANT,Construction Sand and Gravel,Abandoned,11/18/1996,Surface
0102247,Riverside Materials,Construction Sand and Gravel,Abandoned,11/22/1982,Surface
0102256,Bragan Pit,Construction Sand and Gravel,Abandoned,10/26/1981,Surface
0102262,Wallace Pit,Construction Sand and Gravel,Abandoned,9/8/1982,Surface
0102283,Pit No 3,Construction Sand and Gravel,Abandoned,1/28/1985,Surface
0102289,Crawford Pit,Construction Sand and Gravel,Abandoned,11/11/1981,Surface
0102291,Jacop Pit,Construction Sand and Gravel,Abandoned,4/2/1984,Surface
0102314,Shine Pit,Construction Sand and Gravel,Abandoned,12/7/1984,Surface
0102325,White Chert Pit,Construction Sand and Gravel,Abandoned,6/1/1993,Surface
0102326,Selma Plant #2,Construction Sand and Gravel,Abandoned,12/7/1984,Surface
0102340,Pit No 4,Construction Sand and Gravel,Abandoned,7/27/1987,Surface
0102342,Beasley Pit,Construction Sand and Gravel,Abandoned,8/30/1985,Surface
0102356,Gulf States Crusher,Construction Sand and Gravel,Abandoned,10/21/1982,Surface
0102358,Calera Plant,Construction Sand and Gravel,Abandoned,10/11/1988,Surface
0102366,Bunn Plant Or Plant Operation,Construction Sand and Gravel,Abandoned,6/3/1985,Surface
0102367,Couch Pit,Construction Sand and Gravel,Abandoned,8/31/1982,Surface
0102376,St Regis Pit,Construction Sand and Gravel,Abandoned,1/26/1996,Surface
0102387,Sharpe No 1,Construction Sand and Gravel,Abandoned,10/19/1984,Surface
0102396,Shorter Plant,Construction Sand and Gravel,Abandoned,6/25/1990,Surface
0102398,Beers Pit,Construction Sand and Gravel,Abandoned,12/5/1994,Surface
0102503,Tooson Pit,Construction Sand and Gravel,Abandoned,9/21/1989,Surface
0102504,Pit No 1,Construction Sand and Gravel,Abandoned,7/15/1987,Surface
0102507,MIMS PIT,Construction Sand and Gravel,Abandoned,6/19/1987,Surface
0102516,Dees Pit,Construction Sand and Gravel,Abandoned,11/18/1982,Surface
0102522,Odom Pit,Construction Sand and Gravel,Abandoned,6/30/1987,Surface
0102524,Parker No 2,Construction Sand and Gravel,Abandoned,6/1/1987,Surface
0102525,Bromley Pit,Construction Sand and Gravel,Abandoned,6/15/1987,Surface
