year,location,total,num_1_units,num_2_units,num_3_4_units,num_5_more_units,num_structures_more_5_units
2021,United States,1736982,1115360,31760,21093,568769,19126
2021,Northeast Region,164760,65006,4720,3412,91622,3340
2021,New England Division,39637,21230,1502,727,16178,887
2021,Connecticut,4651,2941,148,79,1483,116
2021,Maine,6530,5238,240,72,980,54
2021,Massachusetts,19853,7231,702,330,11590,594
2021,New Hampshire,4892,3426,132,141,1193,59
2021,Rhode Island,1392,1033,148,85,126,9
2021,Vermont,2319,1361,132,20,806,55
2021,Middle Atlantic Division,125123,43776,3218,2685,75444,2453
2021,New Jersey,37094,13913,1192,645,21344,1030
2021,New York,40135,11099,908,618,27510,760
2021,Pennsylvania,47894,18764,1118,1422,26590,663
2021,Midwest Region,227600,142917,6258,3771,74654,2676
2021,East North Central Division,127112,83627,3458,2001,38026,1599
2021,Illinois,19658,10937,490,736,7495,287
2021,Indiana,29860,22225,718,134,6783,223
2021,Michigan,21732,16760,424,421,4127,207
2021,Ohio,30418,20506,376,607,8929,464
2021,Wisconsin,25444,13199,1450,103,10692,418
2021,West North Central Division,100488,59290,2800,1770,36628,1077
2021,Iowa,13686,9158,446,298,3784,120
2021,Kansas,9538,6569,1002,135,1832,52
2021,Minnesota,33652,16704,354,283,16311,299
2021,Missouri,21372,13941,478,595,6358,238
2021,Nebraska,10723,6328,118,177,4100,169
2021,North Dakota,3600,2266,258,8,1068,27
2021,South Dakota,7917,4324,144,274,3175,172
2021,South Region,917533,655212,12264,6289,243768,7340
2021,South Atlantic Division,501087,362441,5624,2430,130592,3810
2021,Delaware,8500,7261,304,3,932,25
2021,District of Columbia,4740,376,24,7,4333,50
2021,Florida,213494,148735,3338,1272,60149,1646
2021,Georgia,67223,53419,364,624,12816,559
2021,Maryland,18496,12520,50,70,5856,185
2021,North Carolina,94874,68636,542,238,25458,743
2021,South Carolina,50680,43264,416,42,6958,272
2021,Virginia,39388,25118,502,156,13612,309
2021,West Virginia,3692,3112,84,18,478,21
2021,East South Central Division,102413,72336,708,1000,28369,1126
2021,Alabama,22100,17879,98,199,3924,159
2021,Kentucky,14841,10087,270,189,4295,281
2021,Mississippi,7988,7384,44,100,460,56
2021,Tennessee,57484,36986,296,512,19690,630
2021,West South Central Division,314033,220435,5932,2859,84807,2404
2021,Arkansas,14198,10563,616,567,2452,126
2021,Louisiana,19147,16937,480,78,1652,50
2021,Oklahoma,14733,13315,486,81,851,77
2021,Texas,265955,179620,4350,2133,79852,2151
2021,West Region,427089,252225,8518,7621,158725,5770
2021,Mountain Division,223785,144471,4016,4138,71160,2857
2021,Arizona,65334,46561,1332,336,17105,727
2021,Colorado,56524,30246,1260,736,24282,664
2021,Idaho,21732,16154,222,1051,4305,255
2021,Montana,7272,3169,348,267,3488,134
2021,Nevada,23406,16295,220,677,6214,364
2021,New Mexico,7753,5465,58,27,2203,116
2021,Utah,39058,24423,480,879,13276,573
2021,Wyoming,2706,2158,96,165,287,24
2021,Pacific Division,203304,107754,4502,3483,87565,2913
2021,Alaska,1552,1158,34,103,257,24
2021,California,119436,65890,2408,1631,49507,1763
2021,Hawaii,3459,2445,102,13,899,75
2021,Oregon,21916,13185,424,250,8057,307
2021,Washington,56941,25076,1534,1486,28845,744
