Year,State Coverage,Region,Quantity,Total Value
1971,Alabama,South,22160000.0,41910000.0
1971,Alaska,West,23810000.0,37870000.0
1971,Arizona,West,20610000.0,30250000.0
1971,Arkansas,South,26600000.0,44400000.0
1971,California,West,144300000.0,244300000.0
1971,Colorado,West,27930000.0,38130000.0
1971,Connecticut,Northeast,12810000.0,25900000.0
1971,Delaware,South,2000000.0,2230000.0
1971,Florida,South,59900000.0,83100000.0
1971,Georgia,South,31150000.0,75210000.0
1971,Hawaii,West,6248000.0,16370000.0
1971,Idaho,West,13960000.0,17520000.0
1971,Illinois,Midwest,97400000.0,165400000.0
1971,Indiana,Midwest,46500000.0,77300000.0
1971,Iowa,Midwest,39600000.0,65500000.0
1971,Kansas,Midwest,24300000.0,35100000.0
1971,Kentucky,South,36940000.0,63400000.0
1971,Louisiana,South,26190000.0,38600000.0
1971,Maine,Northeast,8550000.0,8790000.0
1971,Maryland,South,26100000.0,58000000.0
1971,Massachusetts,Northeast,22790000.0,46700000.0
1971,Michigan,Midwest,88300000.0,112100000.0
1971,Minnesota,Midwest,46000000.0,51900000.0
1971,Mississippi,South,10859000.0,14209000.0
1971,Missouri,Midwest,46670000.0,79900000.0
1971,Montana,West,14300000.0,25200000.0
1971,Nebraska,Midwest,15790000.0,21490000.0
1971,Nevada,West,10810000.0,16000000.0
1971,New Hampshire,Northeast,8009000.0,10210000.0
1971,New Jersey,Northeast,29000000.0,74400000.0
1971,New Mexico,West,10690000.0,13320000.0
1971,New York,Northeast,55400000.0,101700000.0
1971,North Carolina,South,40900000.0,72700000.0
1971,North Dakota,Midwest,7440000.0,6210000.0
1971,Ohio,Midwest,79500000.0,142400000.0
1971,Oklahoma,South,22780000.0,35360000.0
1971,Oregon,West,30900000.0,55400000.0
1971,Pennsylvania,Northeast,76300000.0,154200000.0
1971,Rhode Island,Northeast,2043000.0,3472000.0
1971,South Carolina,South,15840000.0,27020000.0
1971,South Dakota,Midwest,17200000.0,27270000.0
1971,Tennessee,South,36670000.0,60500000.0
1971,Texas,South,67000000.0,113900000.0
1971,Utah,West,11850000.0,15540000.0
1971,Vermont,Northeast,5670000.0,31420000.0
1971,Virginia,South,43000000.0,83700000.0
1971,Washington,West,31900000.0,47200000.0
1971,West Virginia,South,15410000.0,34900000.0
1971,Wisconsin,Midwest,49100000.0,57800000.0
1971,Wyoming,West,11540000.0,13540000.0
1972,Alabama,South,22560000.0,50530000.0
1972,Alaska,West,13491000.0,18210000.0
1972,Arizona,West,26710000.0,40420000.0
1972,Arkansas,South,25300000.0,41600000.0
1972,California,West,139800000.0,228800000.0
1972,Colorado,West,29790000.0,44200000.0
1972,Connecticut,Northeast,14050000.0,31000000.0
1972,Delaware,South,2050000.0,2660000.0
1972,Florida,South,68100000.0,96900000.0
1972,Georgia,South,37060000.0,87230000.0
1972,Hawaii,West,5092000.0,15390000.0
1972,Idaho,West,9810000.0,17340000.0
1972,Illinois,Midwest,87200000.0,155900000.0
1972,Indiana,Midwest,50400000.0,84200000.0
1972,Iowa,Midwest,40400000.0,68700000.0
1972,Kansas,Midwest,23700000.0,34700000.0
1972,Kentucky,South,38800000.0,71700000.0
1972,Louisiana,South,25540000.0,41800000.0
1972,Maine,Northeast,11678000.0,10540000.0
1972,Maryland,South,29000000.0,68600000.0
1972,Massachusetts,Northeast,24350000.0,49200000.0
1972,Michigan,Midwest,90000000.0,115700000.0
1972,Minnesota,Midwest,38620000.0,49800000.0
1972,Mississippi,South,13230000.0,17300000.0
1972,Missouri,Midwest,47650000.0,78000000.0
1972,Montana,West,12880000.0,22730000.0
1972,Nebraska,Midwest,16260000.0,22750000.0
1972,Nevada,West,12170000.0,18530000.0
1972,New Hampshire,Northeast,5939000.0,10000000.0
1972,New Jersey,Northeast,29800000.0,80000000.0
1972,New Mexico,West,9410000.0,14050000.0
1972,New York,Northeast,58800000.0,114800000.0
1972,North Carolina,South,40900000.0,76500000.0
1972,North Dakota,Midwest,6060000.0,5760000.0
1972,Ohio,Midwest,83500000.0,150700000.0
1972,Oklahoma,South,24770000.0,37700000.0
1972,Oregon,West,32100000.0,53400000.0
1972,Pennsylvania,Northeast,78100000.0,160800000.0
1972,Rhode Island,Northeast,2188000.0,3363000.0
1972,South Carolina,South,18480000.0,33900000.0
1972,South Dakota,Midwest,14020000.0,25700000.0
1972,Tennessee,South,42430000.0,70800000.0
1972,Texas,South,76600000.0,122900000.0
1972,Utah,West,16370000.0,23110000.0
1972,Vermont,Northeast,5990000.0,29410000.0
1972,Virginia,South,49100000.0,95800000.0
1972,Washington,West,34200000.0,49900000.0
1972,West Virginia,South,15830000.0,36300000.0
1972,Wisconsin,Midwest,50600000.0,61000000.0
1972,Wyoming,West,11470000.0,20670000.0
1973,Alabama,South,27100000.0,54000000.0
1973,Alaska,West,19010000.0,32600000.0
1973,Arizona,West,28770000.0,47970000.0
1973,Arkansas,South,26000000.0,46800000.0
1973,California,West,146800000.0,253200000.0
1973,Colorado,West,36370000.0,59500000.0
1973,Connecticut,Northeast,15860000.0,34100000.0
1973,Delaware,South,3090000.0,3700000.0
1973,Florida,South,74300000.0,125400000.0
1973,Georgia,South,41610000.0,104280000.0
1973,Hawaii,West,7193000.0,20510000.0
1973,Idaho,West,10300000.0,18300000.0
1973,Illinois,Midwest,100100000.0,176000000.0
1973,Indiana,Midwest,54500000.0,92700000.0
1973,Iowa,Midwest,46700000.0,82400000.0
1973,Kansas,Midwest,28600000.0,46300000.0
1973,Kentucky,South,44070000.0,85500000.0
1973,Louisiana,South,22300000.0,42500000.0
