Year,State Coverage,Region,Commodity,Quantity,Data Description,Total Value
2023,Alabama,South,"Aggregates, construction",15800000.0,Construction sand and gravel,200000000.0
2023,Alaska,West,"Aggregates, construction",5440000.0,Construction sand and gravel,62200000.0
2023,Arizona,West,"Aggregates, construction",49800000.0,Construction sand and gravel,775000000.0
2023,Arkansas,South,"Aggregates, construction",7730000.0,Construction sand and gravel,94100000.0
2023,California,West,"Aggregates, construction",99300000.0,Construction sand and gravel,1630000000.0
2023,Colorado,West,"Aggregates, construction",35800000.0,Construction sand and gravel,469000000.0
2023,Connecticut,Northeast,"Aggregates, construction",4820000.0,Construction sand and gravel,72100000.0
2023,Delaware,South,"Aggregates, construction",2280000.0,Construction sand and gravel,20200000.0
2023,Florida,South,"Aggregates, construction",27300000.0,Construction sand and gravel,452000000.0
2023,Georgia,South,"Aggregates, construction",8510000.0,Construction sand and gravel,90000000.0
2023,Hawaii,West,"Aggregates, construction",676000.0,Construction sand and gravel,22200000.0
2023,Idaho,West,"Aggregates, construction",25100000.0,Construction sand and gravel,195000000.0
2023,Illinois,Midwest,"Aggregates, construction",18400000.0,Construction sand and gravel,198000000.0
2023,Indiana,Midwest,"Aggregates, construction",17700000.0,Construction sand and gravel,211000000.0
2023,Iowa,Midwest,"Aggregates, construction",12800000.0,Construction sand and gravel,127000000.0
2023,Kansas,Midwest,"Aggregates, construction",9730000.0,Construction sand and gravel,98600000.0
2023,Kentucky,South,"Aggregates, construction",8820000.0,Construction sand and gravel,91300000.0
2023,Louisiana,South,"Aggregates, construction",16600000.0,Construction sand and gravel,218000000.0
2023,Maine,Northeast,"Aggregates, construction",9250000.0,Construction sand and gravel,90800000.0
2023,Maryland,South,"Aggregates, construction",6100000.0,Construction sand and gravel,118000000.0
2023,Massachusetts,Northeast,"Aggregates, construction",9880000.0,Construction sand and gravel,138000000.0
2023,Michigan,Midwest,"Aggregates, construction",42300000.0,Construction sand and gravel,332000000.0
2023,Minnesota,Midwest,"Aggregates, construction",52200000.0,Construction sand and gravel,367000000.0
2023,Mississippi,South,"Aggregates, construction",8700000.0,Construction sand and gravel,88300000.0
2023,Missouri,Midwest,"Aggregates, construction",8260000.0,Construction sand and gravel,88700000.0
2023,Montana,West,"Aggregates, construction",14600000.0,Construction sand and gravel,180000000.0
2023,Nebraska,Midwest,"Aggregates, construction",11700000.0,Construction sand and gravel,147000000.0
2023,Nevada,West,"Aggregates, construction",23800000.0,Construction sand and gravel,232000000.0
2023,New Hampshire,Northeast,"Aggregates, construction",7900000.0,Construction sand and gravel,109000000.0
2023,New Jersey,Northeast,"Aggregates, construction",14400000.0,Construction sand and gravel,160000000.0
2023,New Mexico,West,"Aggregates, construction",10500000.0,Construction sand and gravel,161000000.0
2023,New York,Northeast,"Aggregates, construction",29300000.0,Construction sand and gravel,451000000.0
2023,North Carolina,South,"Aggregates, construction",10200000.0,Construction sand and gravel,93800000.0
2023,North Dakota,Midwest,"Aggregates, construction",11900000.0,Construction sand and gravel,78600000.0
2023,Ohio,Midwest,"Aggregates, construction",28800000.0,Construction sand and gravel,354000000.0
2023,Oklahoma,South,"Aggregates, construction",13300000.0,Construction sand and gravel,152000000.0
2023,Oregon,West,"Aggregates, construction",14200000.0,Construction sand and gravel,206000000.0
2023,Pennsylvania,Northeast,"Aggregates, construction",10100000.0,Construction sand and gravel,119000000.0
2023,Rhode Island,Northeast,"Aggregates, construction",3760000.0,Construction sand and gravel,67300000.0
2023,South Carolina,South,"Aggregates, construction",11800000.0,Construction sand and gravel,118000000.0
2023,South Dakota,Midwest,"Aggregates, construction",11600000.0,Construction sand and gravel,88800000.0
2023,Tennessee,South,"Aggregates, construction",8580000.0,Construction sand and gravel,164000000.0
2023,Texas,South,"Aggregates, construction",103000000.0,Construction sand and gravel,1460000000.0
2023,Utah,West,"Aggregates, construction",34700000.0,Construction sand and gravel,508000000.0
2023,Vermont,Northeast,"Aggregates, construction",4330000.0,Construction sand and gravel,51200000.0
2023,Virginia,South,"Aggregates, construction",8360000.0,Construction sand and gravel,136000000.0
2023,Washington,West,"Aggregates, construction",33700000.0,Construction sand and gravel,468000000.0
2023,West Virginia,South,"Aggregates, construction",782000.0,Construction sand and gravel,8200000.0
2023,Wisconsin,Midwest,"Aggregates, construction",28900000.0,Construction sand and gravel,225000000.0
2023,Wyoming,West,"Aggregates, construction",14000000.0,Construction sand and gravel,141000000.0
2022,Alabama,South,"Aggregates, construction",14900000.0,Construction sand and gravel,167000000.0
2022,Alaska,West,"Aggregates, construction",5980000.0,Construction sand and gravel,64600000.0
2022,Arizona,West,"Aggregates, construction",47500000.0,Construction sand and gravel,654000000.0
2022,Arkansas,South,"Aggregates, construction",7410000.0,Construction sand and gravel,78900000.0
2022,California,West,"Aggregates, construction",100000000.0,Construction sand and gravel,1490000000.0
2022,Colorado,West,"Aggregates, construction",35100000.0,Construction sand and gravel,423000000.0
2022,Connecticut,Northeast,"Aggregates, construction",4430000.0,Construction sand and gravel,61700000.0
2022,Delaware,South,"Aggregates, construction",2440000.0,Construction sand and gravel,18800000.0
2022,Florida,South,"Aggregates, construction",26300000.0,Construction sand and gravel,389000000.0
2022,Georgia,South,"Aggregates, construction",7290000.0,Construction sand and gravel,71900000.0
2022,Hawaii,West,"Aggregates, construction",494000.0,Construction sand and gravel,14400000.0
2022,Idaho,West,"Aggregates, construction",24700000.0,Construction sand and gravel,183000000.0
2022,Illinois,Midwest,"Aggregates, construction",18300000.0,Construction sand and gravel,179000000.0
2022,Indiana,Midwest,"Aggregates, construction",18300000.0,Construction sand and gravel,191000000.0
2022,Iowa,Midwest,"Aggregates, construction",12100000.0,Construction sand and gravel,111000000.0
2022,Kansas,Midwest,"Aggregates, construction",9900000.0,Construction sand and gravel,87100000.0
2022,Kentucky,South,"Aggregates, construction",8530000.0,Construction sand and gravel,84200000.0
2022,Louisiana,South,"Aggregates, construction",15200000.0,Construction sand and gravel,180000000.0
2022,Maine,Northeast,"Aggregates, construction",9240000.0,Construction sand and gravel,85700000.0
2022,Maryland,South,"Aggregates, construction",6110000.0,Construction sand and gravel,110000000.0
2022,Massachusetts,Northeast,"Aggregates, construction",9980000.0,Construction sand and gravel,133000000.0
2022,Michigan,Midwest,"Aggregates, construction",42100000.0,Construction sand and gravel,317000000.0
2022,Minnesota,Midwest,"Aggregates, construction",52800000.0,Construction sand and gravel,360000000.0
2022,Mississippi,South,"Aggregates, construction",7060000.0,Construction sand and gravel,70300000.0
2022,Missouri,Midwest,"Aggregates, construction",8410000.0,Construction sand and gravel,79100000.0
2022,Montana,West,"Aggregates, construction",13600000.0,Construction sand and gravel,147000000.0
2022,Nebraska,Midwest,"Aggregates, construction",12100000.0,Construction sand and gravel,137000000.0
2022,Nevada,West,"Aggregates, construction",22800000.0,Construction sand and gravel,205000000.0
2022,New Hampshire,Northeast,"Aggregates, construction",7570000.0,Construction sand and gravel,91100000.0
2022,New Jersey,Northeast,"Aggregates, construction",14500000.0,Construction sand and gravel,147000000.0
2022,New Mexico,West,"Aggregates, construction",10300000.0,Construction sand and gravel,145000000.0
2022,New York,Northeast,"Aggregates, construction",28800000.0,Construction sand and gravel,402000000.0
2022,North Carolina,South,"Aggregates, construction",9970000.0,Construction sand and gravel,83000000.0
2022,North Dakota,Midwest,"Aggregates, construction",10400000.0,Construction sand and gravel,66100000.0
2022,Ohio,Midwest,"Aggregates, construction",31800000.0,Construction sand and gravel,356000000.0
2022,Oklahoma,South,"Aggregates, construction",13600000.0,Construction sand and gravel,136000000.0
2022,Oregon,West,"Aggregates, construction",15000000.0,Construction sand and gravel,194000000.0
2022,Pennsylvania,Northeast,"Aggregates, construction",9970000.0,Construction sand and gravel,110000000.0
2022,Rhode Island,Northeast,"Aggregates, construction",3680000.0,Construction sand and gravel,64100000.0
2022,South Carolina,South,"Aggregates, construction",11000000.0,Construction sand and gravel,94800000.0
2022,South Dakota,Midwest,"Aggregates, construction",11500000.0,Construction sand and gravel,78500000.0
2022,Tennessee,South,"Aggregates, construction",8180000.0,Construction sand and gravel,138000000.0
2022,Texas,South,"Aggregates, construction",100000000.0,Construction sand and gravel,1250000000.0
2022,Utah,West,"Aggregates, construction",36200000.0,Construction sand and gravel,423000000.0
2022,Vermont,Northeast,"Aggregates, construction",4740000.0,Construction sand and gravel,52100000.0
2022,Virginia,South,"Aggregates, construction",8390000.0,Construction sand and gravel,121000000.0
2022,Washington,West,"Aggregates, construction",36400000.0,Construction sand and gravel,483000000.0
2022,West Virginia,South,"Aggregates, construction",653000.0,Construction sand and gravel,6330000.0
2022,Wisconsin,Midwest,"Aggregates, construction",29100000.0,Construction sand and gravel,221000000.0
2022,Wyoming,West,"Aggregates, construction",13800000.0,Construction sand and gravel,129000000.0
2021,Alabama,South,"Aggregates, construction",13600000.0,Construction sand and gravel,137000000.0
2021,Alaska,West,"Aggregates, construction",5580000.0,Construction sand and gravel,54400000.0
2021,Arizona,West,"Aggregates, construction",44200000.0,Construction sand and gravel,538000000.0
2021,Arkansas,South,"Aggregates, construction",6990000.0,Construction sand and gravel,69200000.0
2021,California,West,"Aggregates, construction",101000000.0,Construction sand and gravel,1540000000.0
2021,Colorado,West,"Aggregates, construction",34200000.0,Construction sand and gravel,370000000.0
2021,Connecticut,Northeast,"Aggregates, construction",4200000.0,Construction sand and gravel,50800000.0
2021,Delaware,South,"Aggregates, construction",2810000.0,Construction sand and gravel,18700000.0
2021,Florida,South,"Aggregates, construction",24900000.0,Construction sand and gravel,333000000.0
2021,Georgia,South,"Aggregates, construction",5850000.0,Construction sand and gravel,46400000.0
2021,Hawaii,West,"Aggregates, construction",158000.0,Construction sand and gravel,4040000.0
2021,Idaho,West,"Aggregates, construction",23200000.0,Construction sand and gravel,180000000.0
2021,Illinois,Midwest,"Aggregates, construction",17600000.0,Construction sand and gravel,169000000.0
2021,Indiana,Midwest,"Aggregates, construction",18700000.0,Construction sand and gravel,186000000.0
2021,Iowa,Midwest,"Aggregates, construction",13900000.0,Construction sand and gravel,122000000.0
2021,Kansas,Midwest,"Aggregates, construction",10500000.0,Construction sand and gravel,84600000.0
2021,Kentucky,South,"Aggregates, construction",8440000.0,Construction sand and gravel,79600000.0
2021,Louisiana,South,"Aggregates, construction",14300000.0,Construction sand and gravel,212000000.0
2021,Maine,Northeast,"Aggregates, construction",8370000.0,Construction sand and gravel,76500000.0
2021,Maryland,South,"Aggregates, construction",5880000.0,Construction sand and gravel,95700000.0
2021,Massachusetts,Northeast,"Aggregates, construction",9370000.0,Construction sand and gravel,112000000.0
2021,Michigan,Midwest,"Aggregates, construction",42700000.0,Construction sand and gravel,335000000.0
