geo_id,state_name,total_units,single_family_detached,single_family_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_49,units_50_plus,mobile_homes,boat_rv_van
0400000US01,Alabama,2313616,1621362,42163,38803,65596,89598,76525,39130,51851,285402,3186
0400000US02,Alaska,327889,205054,29009,15049,23024,13962,10067,11294,6008,14074,348
0400000US04,Arizona,3138685,2031053,170497,38750,102792,115712,109099,79237,191617,290517,9411
0400000US05,Arkansas,1380768,977010,26442,39022,42284,46040,49615,19684,26310,152182,2179
0400000US06,California,14512149,8301530,1088722,332171,787587,830976,700115,734350,1209092,508589,19017
0400000US08,Colorado,2540783,1585754,187978,35200,77699,110274,141513,131213,176102,92279,2771
0400000US09,Connecticut,1536327,907419,104406,110242,119666,75119,57735,54458,94378,11800,1104
0400000US10,Delaware,457978,267294,73045,5235,12597,20975,21939,10694,12826,32401,972
0400000US11,District of Columbia,357482,39867,79286,9763,24355,26060,30257,27183,120090,621,0
0400000US12,Florida,10054509,5525394,668465,209253,392301,475908,547376,556839,846231,816090,16652
0400000US13,Georgia,4475242,3013266,183725,92102,125782,188556,195437,116160,193547,362202,4465
0400000US15,Hawaii,564878,296149,52203,14513,22271,33395,26596,31086,87044,1218,403
0400000US16,Idaho,775330,570985,27502,15941,35210,21570,19863,13702,11582,57380,1595
0400000US17,Illinois,5440294,3197378,325855,284238,339771,335332,215947,195703,419104,124780,2186
0400000US18,Indiana,2950121,2171846,119113,65843,105282,125784,105099,59813,71741,124534,1066
0400000US19,Iowa,1426039,1043570,61032,31611,46777,49775,55050,53577,40726,42919,1002
0400000US20,Kansas,1284353,929382,64266,32962,47896,43788,48472,35696,31796,49332,763
0400000US21,Kentucky,2008227,1361823,59878,55610,86948,93727,64734,28714,35953,219130,1710
0400000US22,Louisiana,2093387,1387808,57963,81995,81078,68423,56503,46726,55992,252971,3928
0400000US23,Maine,744620,525880,19129,32163,39785,27885,12503,13169,11178,62501,427
0400000US24,Maryland,2546364,1321828,538105,34784,52467,129830,181874,59374,193221,33462,1419
0400000US25,Massachusetts,3017772,1558248,182936,280471,321175,171119,119232,131699,230972,20873,1047
0400000US26,Michigan,4590384,3319282,210257,100513,121608,188353,160963,103346,148767,235720,1575
0400000US27,Minnesota,2517173,1678784,187263,49209,54768,52464,83831,125336,210580,73906,1032
0400000US28,Mississippi,1332041,933246,17658,28620,42562,51861,29410,18192,20064,187889,2539
0400000US29,Missouri,2807632,1984774,104123,86474,128822,97364,94681,62280,88976,156284,3854
0400000US30,Montana,521916,365609,21506,13543,24416,14879,14187,10147,8490,47948,1191
0400000US31,Nebraska,854298,618456,32581,13853,20271,36402,39137,33347,33969,26224,58
0400000US32,Nevada,1305534,793296,66161,15085,77259,85937,68221,40443,88904,68293,1935
0400000US33,New Hampshire,643979,412356,36696,34575,33431,29585,19143,33769,14360,29780,284
0400000US34,New Jersey,3779591,2027880,370952,315690,230267,173957,179995,151829,295463,32445,1113
0400000US35,New Mexico,948042,612219,39678,13711,35152,26753,23337,20458,23722,150109,2903
0400000US36,New York,8530561,3590408,458353,797044,566122,434110,360279,704748,1441208,174725,3564
0400000US37,North Carolina,4801698,3136378,224899,92137,134526,192814,191855,134487,137008,553161,4433
0400000US38,North Dakota,374435,215479,23294,7062,14313,12874,18683,39953,17608,24899,270
0400000US39,Ohio,5269498,3647285,241545,194524,222191,245993,202198,114503,217715,181025,2519
0400000US40,Oklahoma,1762113,1291457,38138,31341,53245,63676,60687,31687,41727,146196,3959
0400000US41,Oregon,1837009,1168683,96733,44219,80214,79423,61410,56681,111773,129894,7979
0400000US42,Pennsylvania,5770472,3298868,1095338,232303,225777,169610,145784,128902,265196,205543,3151
0400000US44,Rhode Island,484925,272238,16193,51479,57406,23114,16116,13870,30035,4371,103
0400000US45,South Carolina,2395957,1541721,80713,48152,61869,96859,82151,55590,71126,352727,5049
0400000US46,South Dakota,400688,275249,16375,6040,12641,13538,15945,19566,10647,29858,829
0400000US47,Tennessee,3087992,2131963,113246,78284,98344,130322,107580,68592,104139,251596,3926
0400000US48,Texas,11867820,7698136,357804,221840,398834,523876,658448,422800,789393,769638,27051
0400000US49,Utah,1190154,799053,87662,33606,47682,38235,49795,48987,50012,34150,972
0400000US50,Vermont,336747,226665,15467,14569,19992,17541,7561,9330,6756,18767,99
0400000US51,Virginia,3652329,2249172,406948,59366,104278,170654,190640,79518,233833,157048,872
0400000US53,Washington,3257140,2045045,145792,73160,114881,146318,151856,148424,244547,180284,6833
0400000US54,West Virginia,858462,610755,21917,16141,26751,26819,15007,11255,14783,114391,643
0400000US55,Wisconsin,2748274,1832041,120442,166164,96911,134881,96475,109022,107997,83385,956
0400000US56,Wyoming,274373,187670,14385,4509,12363,7428,5139,5837,3221,33270,551
0400000US72,Puerto Rico,1526801,1054319,190536,40795,42149,57982,50800,26204,60228,3788,0
