geo_id,state_name,total_units,single_family_detached,single_family_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_49,units_50_plus,mobile_homes,boat_rv_van,Unnamed: 24
0400000US01,Alabama,2381771,1665825,47155,43199,73432,90869,71538,40792,66163,275265,7533,
0400000US02,Alaska,329757,211282,25371,18854,22655,16003,6638,11954,5365,10983,652,
0400000US04,Arizona,3299178,2125709,172253,41155,100032,109212,125230,82645,234344,296171,12427,
0400000US05,Arkansas,1421029,997832,24672,40164,46948,51524,55916,24616,26339,149775,3243,
0400000US06,California,14877017,8444064,1113357,361618,833195,842937,717744,735570,1299078,507774,21680,
0400000US08,Colorado,2662111,1628288,206940,35176,87519,115851,156601,138864,204014,86548,2310,
0400000US09,Connecticut,1554057,906774,103851,106722,126853,74705,53842,61748,108052,11510,0,
0400000US10,Delaware,476415,284486,71974,8442,9143,17776,23564,11219,15071,34659,81,
0400000US11,District of Columbia,368700,39380,77897,10671,26304,21518,29764,30516,132243,369,38,
0400000US12,Florida,10629845,5825909,757476,202374,396546,482872,584630,582070,954933,824425,18610,
0400000US13,Georgia,4668796,3095666,213797,91398,148328,193910,196150,123900,254287,345541,5819,
0400000US15,Hawaii,572824,298961,52950,10072,23400,35088,29446,30723,89838,1951,395,
0400000US16,Idaho,832052,610192,33673,15199,36552,27799,17357,18226,16396,54080,2578,
0400000US17,Illinois,5482133,3196758,343187,263750,349940,327915,221842,209011,448251,119544,1935,
0400000US18,Indiana,3026101,2187695,125234,64937,110507,141539,100703,70687,94350,127964,2485,
0400000US19,Iowa,1458471,1045363,68991,29785,53683,52001,57321,59468,44472,46829,558,
0400000US20,Kansas,1310001,941324,67404,25935,44039,48788,53834,35449,38101,52753,2374,
0400000US21,Kentucky,2051004,1379666,64060,55410,85857,88287,73465,43996,45346,211861,3056,
0400000US22,Louisiana,2138882,1411414,61792,74575,94139,64911,61087,43669,63133,260511,3651,
0400000US23,Maine,764713,526573,18936,38785,43621,29575,14688,16497,12182,63082,774,
0400000US24,Maryland,2588337,1319758,557915,35659,51416,126231,184158,60159,216979,35248,814,
0400000US25,Massachusetts,3057853,1550775,181639,275475,325573,164079,131028,140920,261250,26128,986,
0400000US26,Michigan,4669109,3343661,232297,98306,117786,200685,174184,109039,156770,234347,2034,
0400000US27,Minnesota,2597229,1697393,189610,55389,53377,55399,84130,134039,256134,70336,1422,
0400000US28,Mississippi,1359223,948617,18681,34047,40949,58000,29780,14997,22089,189635,2428,
0400000US29,Missouri,2858527,2009332,118511,87950,125682,97045,99347,67744,103777,143622,5517,
0400000US30,Montana,539622,362862,24784,15811,26900,16312,15019,13707,11226,51792,1209,
0400000US31,Nebraska,880521,627861,35439,14713,22167,33431,42143,35907,45699,22737,424,
0400000US32,Nevada,1365893,820816,77713,16396,76171,89600,58708,39497,113425,71125,2442,
0400000US33,New Hampshire,657198,408906,36937,29617,39293,27524,20768,38238,19038,36273,604,
0400000US34,New Jersey,3816432,1994246,370008,323472,233416,176358,184001,161587,336825,34792,1727,
0400000US35,New Mexico,973944,629840,38300,17792,38866,28731,23640,20130,26514,146137,3994,
0400000US36,New York,8676911,3543124,464442,806425,612081,460046,383325,747542,1473243,183310,3373,
0400000US37,North Carolina,5073509,3309681,255956,97007,134677,200441,217920,148826,177478,525544,5979,
0400000US38,North Dakota,380994,213080,25883,6856,13679,12383,22486,40649,24108,21813,57,
0400000US39,Ohio,5336168,3670987,279420,183841,221248,244086,198772,121650,236331,176771,3062,
0400000US40,Oklahoma,1800427,1310575,42681,31738,54732,69737,57635,32754,51388,143632,5555,
0400000US41,Oregon,1896851,1184472,101408,43044,82725,80452,78089,70139,123195,126727,6600,
0400000US42,Pennsylvania,5861320,3304723,1095678,255832,242227,182558,155221,140419,283583,198970,2109,
0400000US44,Rhode Island,488011,273356,18286,49828,54093,26437,15619,15902,30445,3736,309,
0400000US45,South Carolina,2531310,1662876,100844,40191,71744,94080,87022,71215,74262,325090,3986,
0400000US46,South Dakota,423705,277056,21456,5384,14724,16659,18397,23110,15789,30656,474,
0400000US47,Tennessee,3243954,2196737,138350,73884,96267,135688,129289,86461,135557,244600,7121,
0400000US48,Texas,12616736,8098202,365107,222980,426957,542884,660653,466658,1026951,776232,30112,
0400000US49,Utah,1283206,833766,108873,34038,52394,47697,52846,40472,73592,38395,1133,
0400000US50,Vermont,343166,231055,14598,18038,21184,12742,6162,10171,7045,21891,280,
0400000US51,Virginia,3746211,2269921,434259,56563,114351,162086,191976,88068,261051,166299,1637,
0400000US53,Washington,3400980,2063980,154278,75218,119614,146736,171424,173261,303562,180785,12122,
0400000US54,West Virginia,866433,618281,23535,16254,27269,24255,13863,11703,15992,114584,697,
0400000US55,Wisconsin,2820538,1855771,126962,158503,99185,130752,112524,120158,130702,84595,1386,
0400000US56,Wyoming,281789,191852,11319,5535,11676,9544,6900,8994,3656,31794,519,
0400000US72,Puerto Rico,1616963,1089054,189542,49155,49086,81989,56124,25636,73764,2508,105,
