geo_id,state_name,B25001_001E,Unnamed: 4
0400000US01,Alabama,2339582,
0400000US02,Alaska,329160,
0400000US04,Arizona,3186554,
0400000US05,Arkansas,1395735,
0400000US06,California,14627041,
0400000US08,Colorado,2590205,
0400000US09,Connecticut,1540292,
0400000US10,Delaware,465804,
0400000US11,District of Columbia,360862,
0400000US12,Florida,10257553,
0400000US13,Georgia,4539156,
0400000US15,Hawaii,568058,
0400000US16,Idaho,796968,
0400000US17,Illinois,5452461,
0400000US18,Indiana,2977176,
0400000US19,Iowa,1438456,
0400000US20,Kansas,1292571,
0400000US21,Kentucky,2023679,
0400000US22,Louisiana,2113178,
0400000US23,Maine,751697,
0400000US24,Maryland,2559057,
0400000US25,Massachusetts,3036303,
0400000US26,Michigan,4605363,
0400000US27,Minnesota,2547867,
0400000US28,Mississippi,1342764,
0400000US29,Missouri,2826295,
0400000US30,Montana,529167,
0400000US31,Nebraska,863831,
0400000US32,Nevada,1328788,
0400000US33,New Hampshire,648571,
0400000US34,New Jersey,3785097,
0400000US35,New Mexico,956743,
0400000US36,New York,8585784,
0400000US37,North Carolina,4892627,
0400000US38,North Dakota,377722,
0400000US39,Ohio,5293227,
0400000US40,Oklahoma,1776732,
0400000US41,Oregon,1859349,
0400000US42,Pennsylvania,5815191,
0400000US44,Rhode Island,486017,
0400000US45,South Carolina,2446680,
0400000US46,South Dakota,408009,
0400000US47,Tennessee,3144583,
0400000US48,Texas,12135376,
0400000US49,Utah,1228707,
0400000US50,Vermont,338998,
0400000US51,Virginia,3685233,
0400000US53,Washington,3313479,
0400000US54,West Virginia,861686,
0400000US55,Wisconsin,2770355,
0400000US56,Wyoming,277106,
0400000US72,Puerto Rico,1598570,
