GEO_ID,NAME,B25024_001E,B25024_001M,B25024_002E,B25024_002M,B25024_003E,B25024_003M,B25024_004E,B25024_004M,B25024_005E,B25024_005M,B25024_006E,B25024_006M,B25024_007E,B25024_007M,B25024_008E,B25024_008M,B25024_009E,B25024_009M,B25024_010E,B25024_010M,B25024_011E,B25024_011M
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached",Estimate!!Total:!!2,Margin of Error!!Total:!!2,Estimate!!Total:!!3 or 4,Margin of Error!!Total:!!3 or 4,Estimate!!Total:!!5 to 9,Margin of Error!!Total:!!5 to 9,Estimate!!Total:!!10 to 19,Margin of Error!!Total:!!10 to 19,Estimate!!Total:!!20 to 49,Margin of Error!!Total:!!20 to 49,Estimate!!Total:!!50 or more,Margin of Error!!Total:!!50 or more,Estimate!!Total:!!Mobile home,Margin of Error!!Total:!!Mobile home,"Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc."
0400000US01,Alabama,2313616,360,1621362,11134,42163,3964,38803,3232,65596,4469,89598,6206,76525,4862,39130,3734,51851,3640,285402,7455,3186,818
0400000US02,Alaska,327889,219,205054,3254,29009,2670,15049,1860,23024,2040,13962,2182,10067,1562,11294,1639,6008,1084,14074,1666,348,251
0400000US04,Arizona,3138685,419,2031053,14200,170497,6343,38750,3344,102792,5908,115712,6571,109099,5823,79237,5909,191617,7043,290517,8644,9411,1705
0400000US05,Arkansas,1380768,294,977010,8880,26442,2734,39022,3167,42284,4225,46040,4639,49615,4382,19684,2537,26310,3440,152182,5444,2179,876
0400000US06,California,14512149,1218,8301530,27680,1088722,17157,332171,11299,787587,17666,830976,14506,700115,14662,734350,14770,1209092,18150,508589,10549,19017,2496
0400000US08,Colorado,2540783,353,1585754,11271,187978,6643,35200,3212,77699,4689,110274,6134,141513,7741,131213,6768,176102,6988,92279,4796,2771,863
0400000US09,Connecticut,1536327,369,907419,9942,104406,5705,110242,5988,119666,5924,75119,5534,57735,4488,54458,4171,94378,4722,11800,2089,1104,669
0400000US10,Delaware,457978,419,267294,5055,73045,3851,5235,1117,12597,1852,20975,3270,21939,2599,10694,1751,12826,1708,32401,3317,972,713
0400000US11,District of Columbia,357482,47,39867,2871,79286,3771,9763,1656,24355,2823,26060,3157,30257,3282,27183,2602,120090,4995,621,738,0,236
