"GEO_ID","NAME","B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.",
"0400000US01","Alabama","2381771","264","1665825","12372","47155","4250","43199","3975","73432","4839","90869","6297","71538","5763","40792","4041","66163","4494","275265","9505","7533","1589",
"0400000US02","Alaska","329757","639","211282","4466","25371","2757","18854","2606","22655","2796","16003","2670","6638","1368","11954","2204","5365","1254","10983","1336","652","330",
"0400000US04","Arizona","3299178","852","2125709","16587","172253","7968","41155","3809","100032","6156","109212","7485","125230","8406","82645","6023","234344","9675","296171","9922","12427","1989",
"0400000US05","Arkansas","1421029","136","997832","9437","24672","2896","40164","4027","46948","4364","51524","4411","55916","4907","24616","3287","26339","3622","149775","5715","3243","957",
"0400000US06","California","14877017","1124","8444064","34301","1113357","17403","361618","11532","833195","17590","842937","19227","717744","17115","735570","15305","1299078","18495","507774","10698","21680","2471",
"0400000US08","Colorado","2662111","3196","1628288","15091","206940","8122","35176","4132","87519","6684","115851","6577","156601","8825","138864","7308","204014","8297","86548","5212","2310","786",
"0400000US09","Connecticut","1554057","191","906774","10086","103851","5776","106722","6187","126853","7391","74705","4957","53842","4263","61748","4683","108052","5570","11510","2366","0","225",
"0400000US10","Delaware","476415","97","284486","5391","71974","4353","8442","2223","9143","2370","17776","3151","23564","3061","11219","1984","15071","2629","34659","3041","81","137",
"0400000US11","District of Columbia","368700","86","39380","2912","77897","4278","10671","1613","26304","2584","21518","3329","29764","2920","30516","3385","132243","4994","369","390","38","64",
"0400000US12","Florida","10629845","2325","5825909","32391","757476","16066","202374","8029","396546","14581","482872","15871","584630","18853","582070","15060","954933","17928","824425","15535","18610","2646",
"0400000US13","Georgia","4668796","534","3095666","21211","213797","9600","91398","6543","148328","7785","193910","10286","196150","9253","123900","7894","254287","10414","345541","10901","5819","1472",
"0400000US15","Hawaii","572824","197","298961","5978","52950","3261","10072","1605","23400","2342","35088","2726","29446","2825","30723","2966","89838","4462","1951","810","395","304",
"0400000US16","Idaho","832052","1315","610192","5780","33673","3283","15199","2033","36552","3612","27799","3281","17357","2288","18226","2035","16396","2223","54080","3338","2578","746",
"0400000US17","Illinois","5482133","1080","3196758","20660","343187","9787","263750","8988","349940","11717","327915","9483","221842","8963","209011","8825","448251","13339","119544","5117","1935","800",
"0400000US18","Indiana","3026101","258","2187695","13073","125234","6596","64937","4929","110507","5951","141539","7823","100703","7234","70687","5766","94350","5968","127964","5652","2485","1327",
"0400000US19","Iowa","1458471","525","1045363","8451","68991","4022","29785","2642","53683","4128","52001","4633","57321","4156","59468","3955","44472","4097","46829","3494","558","308",
"0400000US20","Kansas","1310001","918","941324","7643","67404","4316","25935","2829","44039","3506","48788","4348","53834","4303","35449","3650","38101","3312","52753","3881","2374","1279",
"0400000US21","Kentucky","2051004","488","1379666","12822","64060","4611","55410","3836","85857","6236","88287","5366","73465","4389","43996","4706","45346","3992","211861","8071","3056","929",
"0400000US22","Louisiana","2138882","318","1411414","12253","61792","4700","74575","5053","94139","6276","64911","6195","61087","5357","43669","4901","63133","5016","260511","8982","3651","882",
"0400000US23","Maine","764713","115","526573","6428","18936","1991","38785","3653","43621","3900","29575","3045","14688","1905","16497","2333","12182","1946","63082","3870","774","489",
"0400000US24","Maryland","2588337","274","1319758","13036","557915","9388","35659","3902","51416","4669","126231","8886","184158","8804","60159","5365","216979","7984","35248","2892","814","542",
"0400000US25","Massachusetts","3057853","244","1550775","12269","181639","6407","275475","9582","325573","9215","164079","6533","131028","6397","140920","8046","261250","7786","26128","3012","986","640",
"0400000US26","Michigan","4669109","1252","3343661","14353","232297","7927","98306","5775","117786","5214","200685","7131","174184","7334","109039","6254","156770","7588","234347","7016","2034","650",
"0400000US27","Minnesota","2597229","753","1697393","12980","189610","7555","55389","3920","53377","4250","55399","3683","84130","4866","134039","7284","256134","10026","70336","3609","1422","591",
"0400000US28","Mississippi","1359223","158","948617","10783","18681","2517","34047","4277","40949","4101","58000","4705","29780","4099","14997","2880","22089","3274","189635","7264","2428","856",
"0400000US29","Missouri","2858527","391","2009332","10735","118511","5292","87950","4767","125682","6016","97045","5629","99347","5763","67744","5667","103777","5041","143622","5998","5517","1443",
"0400000US30","Montana","539622","174","362862","5608","24784","2881","15811","2257","26900","3448","16312","2101","15019","2604","13707","2539","11226","2394","51792","3702","1209","539",
"0400000US31","Nebraska","880521","737","627861","6268","35439","2779","14713","2496","22167","2802","33431","3349","42143","3543","35907","3499","45699","4100","22737","2471","424","273",
"0400000US32","Nevada","1365893","223","820816","9817","77713","5361","16396","2636","76171","5645","89600","5763","58708","5567","39497","4079","113425","5946","71125","3812","2442","841",
"0400000US33","New Hampshire","657198","160","408906","6345","36937","2671","29617","2831","39293","3799","27524","3119","20768","3088","38238","3680","19038","2394","36273","3533","604","370",
"0400000US34","New Jersey","3816432","2877","1994246","14661","370008","9443","323472","10094","233416","9320","176358","7361","184001","7379","161587","7165","336825","11348","34792","3439","1727","657",
"0400000US35","New Mexico","973944","1173","629840","8786","38300","3367","17792","2879","38866","3924","28731","3575","23640","2869","20130","3026","26514","2963","146137","5891","3994","1104",
"0400000US36","New York","8676911","743","3543124","19543","464442","11753","806425","14381","612081","14518","460046","11555","383325","9083","747542","18470","1473243","17343","183310","7403","3373","1102",
"0400000US37","North Carolina","5073509","767","3309681","23511","255956","9848","97007","5908","134677","8425","200441","9158","217920","10350","148826","7586","177478","8273","525544","12522","5979","1650",
"0400000US38","North Dakota","380994","1011","213080","4512","25883","2430","6856","1995","13679","2240","12383","1946","22486","3171","40649","3968","24108","2782","21813","1892","57","65",
"0400000US39","Ohio","5336168","1425","3670987","18396","279420","9844","183841","8730","221248","10120","244086","10252","198772","9640","121650","6562","236331","7789","176771","7215","3062","1094",
"0400000US40","Oklahoma","1800427","262","1310575","6800","42681","2832","31738","2331","54732","3058","69737","4159","57635","3541","32754","2618","51388","4097","143632","4371","5555","951",
"0400000US41","Oregon","1896851","179","1184472","11093","101408","6517","43044","3945","82725","4534","80452","5492","78089","5630","70139","4995","123195","6751","126727","6480","6600","1258",
"0400000US42","Pennsylvania","5861320","507","3304723","17181","1095678","15826","255832","10401","242227","9939","182558","8104","155221","7302","140419","8282","283583","9281","198970","5876","2109","653",
"0400000US44","Rhode Island","488011","154","273356","6947","18286","2577","49828","4391","54093","5077","26437","3692","15619","2720","15902","2201","30445","3436","3736","976","309","418",
"0400000US45","South Carolina","2531310","358","1662876","14328","100844","6236","40191","3928","71744","5887","94080","6683","87022","5531","71215","6118","74262","6440","325090","8726","3986","1276",
"0400000US46","South Dakota","423705","269","277056","4914","21456","2504","5384","1119","14724","2130","16659","2644","18397","3034","23110","3142","15789","2729","30656","2819","474","285",
"0400000US47","Tennessee","3243954","269","2196737","14107","138350","7585","73884","5487","96267","6653","135688","6887","129289","9139","86461","7211","135557","6758","244600","7594","7121","1531",
"0400000US48","Texas","12616736","820","8098202","31906","365107","12048","222980","9324","426957","12736","542884","17176","660653","20266","466658","17260","1026951","22884","776232","17146","30112","3128",
"0400000US49","Utah","1283206","322","833766","7389","108873","5482","34038","3249","52394","3684","47697","4812","52846","4409","40472","3461","73592","5463","38395","3769","1133","733",
"0400000US50","Vermont","343166","770","231055","3917","14598","1674","18038","2285","21184","2596","12742","2242","6162","1149","10171","1576","7045","1611","21891","2057","280","208",
"0400000US51","Virginia","3746211","965","2269921","14292","434259","10084","56563","4475","114351","6107","162086","8831","191976","7713","88068","5449","261051","7887","166299","6455","1637","881",
"0400000US53","Washington","3400980","404","2063980","14682","154278","6929","75218","5729","119614","6916","146736","7921","171424","8033","173261","8910","303562","10622","180785","7621","12122","2155",
"0400000US54","West Virginia","866433","142","618281","7608","23535","2373","16254","2279","27269","3053","24255","2574","13863","1838","11703","1869","15992","1995","114584","5577","697","474",
"0400000US55","Wisconsin","2820538","1130","1855771","12635","126962","5960","158503","5852","99185","6294","130752","6267","112524","5993","120158","6070","130702","6768","84595","3416","1386","515",
"0400000US56","Wyoming","281789","133","191852","3697","11319","1892","5535","1228","11676","1848","9544","1987","6900","1469","8994","2001","3656","1312","31794","2509","519","372",
"0400000US72","Puerto Rico","1616963","7687","1089054","8975","189542","6883","49155","3324","49086","3610","81989","5100","56124","4074","25636","2467","73764","4025","2508","825","105","125",
