"GEO_ID","NAME","B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.",
"0400000US01","Alabama","2339582","307","1619546","11529","45690","3741","43481","3442","68778","4483","91258","6110","74847","5914","46851","4572","55767","3852","285974","7525","7390","1962",
"0400000US02","Alaska","329160","406","207121","4165","24649","2462","17870","2048","24335","2862","17520","2370","10215","1559","9960","2089","4918","1111","12046","1630","526","343",
"0400000US04","Arizona","3186554","496","2058393","16071","166644","6399","46161","4276","96975","5716","108930","6673","123081","6809","75237","5773","212775","9094","284582","8999","13776","2357",
"0400000US05","Arkansas","1395735","200","962928","9473","26452","3175","44754","3760","47668","4033","50173","4400","51218","5098","24073","3051","24906","3316","159749","5854","3814","1143",
"0400000US06","California","14627041","997","8372158","32164","1071892","16244","346346","9062","798889","16683","811754","14517","697121","15857","742844","17882","1252206","20779","512915","10495","20916","2275",
"0400000US08","Colorado","2590205","2107","1589995","12219","208940","6298","40347","3803","79101","5471","108605","5675","145185","7986","127905","7165","193855","6887","92679","6198","3593","868",
"0400000US09","Connecticut","1540292","155","903069","8611","95962","5445","105180","6944","130376","6821","73178","5353","60769","4991","59343","4699","100364","6097","11666","2009","385","348",
"0400000US10","Delaware","465804","84","282100","5775","75385","3656","4561","1062","9795","1876","16577","2160","23479","2773","9516","1722","13773","2000","30357","3133","261","244",
"0400000US11","District of Columbia","360862","68","38073","2764","77994","3635","15929","2015","27583","2941","23180","3020","28402","3222","28597","3331","121104","5497","0","238","0","238",
"0400000US12","Florida","10257553","836","5565809","30070","682253","14523","217077","9312","390135","13495","495176","17332","559201","16511","566986","15741","919134","16624","840155","15384","21627","2965",
"0400000US13","Georgia","4539156","441","3017661","19589","203882","8945","98953","6206","142443","7442","194394","8745","184463","8378","112033","6142","218728","7894","363036","10723","3563","1127",
"0400000US15","Hawaii","568058","95","307139","4969","52049","3413","10805","1531","23478","2473","35862","2829","24331","2647","30816","2671","80715","3514","1948","843","915","555",
"0400000US16","Idaho","796968","231","593215","5120","29414","2949","15008","2310","36413","2906","17687","2006","16593","1907","15381","2794","16964","2127","54491","3923","1802","526",
"0400000US17","Illinois","5452461","350","3175591","17169","338145","8879","270358","10618","338044","10991","354374","11164","216364","8467","218857","10043","419733","13000","118507","5175","2488","939",
"0400000US18","Indiana","2977176","875","2162386","11747","119605","5517","72199","4534","108359","6159","138673","7838","95674","6657","67389","5170","82927","4870","128933","5608","1031","509",
"0400000US19","Iowa","1438456","779","1038974","7694","65985","3563","28442","2742","48300","3872","55533","4337","55160","4174","62102","4467","39138","2862","44356","2904","466","300",
"0400000US20","Kansas","1292571","329","926960","7796","64054","4318","33640","3074","49233","3721","47108","3717","52336","4137","28967","3200","38428","3108","51163","2947","682","311",
"0400000US21","Kentucky","2023679","185","1359063","9761","58636","3695","54491","3477","87362","4825","95604","5860","69684","5105","32417","3181","42257","4102","220646","7297","3519","1142",
"0400000US22","Louisiana","2113178","174","1381951","13706","57060","4040","79192","5495","90307","6632","71720","5731","59828","5758","45515","4733","56087","4834","266214","8963","5304","1444",
"0400000US23","Maine","751697","844","523111","6084","20361","2561","35814","2614","41165","4006","30148","2994","12374","1723","16258","2019","12419","1830","59556","3669","491","298",
"0400000US24","Maryland","2559057","654","1307353","11910","541537","11630","37621","4206","54805","5516","128061","7348","191156","8282","70564","4835","195120","6930","32086","3456","754","436",
"0400000US25","Massachusetts","3036303","363","1537919","14033","175680","6600","288912","8452","328485","10230","175568","8220","128828","5837","142787","5675","231436","7491","24813","2511","1875","1049",
"0400000US26","Michigan","4605363","2410","3307942","14187","222388","6737","103719","5450","120897","6442","190665","8092","163751","8129","100251","5617","155827","7569","237488","7318","2435","802",
"0400000US27","Minnesota","2547867","597","1691035","10816","179649","7304","56824","4117","52488","4375","56052","3714","80011","4745","127111","6651","230018","7485","73498","3467","1181","432",
"0400000US28","Mississippi","1342764","204","929223","9648","17466","2778","30259","3311","44621","3415","46061","4546","31282","3276","16567","2425","23365","2668","201130","7149","2790","835",
"0400000US29","Missouri","2826295","607","1978688","11612","103915","5222","89085","4964","131883","6824","101594","6882","100926","6203","69504","4966","96238","6014","150114","5714","4348","1132",
"0400000US30","Montana","529167","167","364808","5710","26037","2719","14480","1750","24772","2232","14351","2407","14009","1982","12005","2002","10722","1866","47063","3519","920","507",
"0400000US31","Nebraska","863831","325","614708","7373","36077","2800","16148","2385","22423","2431","38007","3512","44505","3953","34204","3560","35358","2894","22261","1843","140","104",
"0400000US32","Nevada","1328788","137","802033","8357","68019","4322","19219","2774","76023","5216","83120","5325","62029","4523","42469","4022","102403","6148","70538","3781","2935","794",
"0400000US33","New Hampshire","648571","115","415725","5519","34044","2524","31539","2978","31505","2975","33485","2814","20110","3425","32746","3010","17645","2338","31258","2508","514","273",
"0400000US34","New Jersey","3785097","490","2007394","16789","388654","9986","313727","10195","222440","8224","174938","8332","181978","7781","155819","8500","301311","8072","37743","4017","1093","790",
"0400000US35","New Mexico","956743","137","626178","7740","32043","2467","15344","2216","37284","3956","25006","3110","24949","2992","15436","2463","29243","2920","147864","5291","3396","1038",
"0400000US36","New York","8585784","494","3528524","17456","461298","9978","821384","16246","591155","15417","450626","12477","380307","12756","730167","15686","1435738","22536","183800","5228","2785","805",
"0400000US37","North Carolina","4892627","1041","3203960","18271","223064","7568","97433","6493","134569","7200","182401","7562","214364","9190","151316","9640","153134","6316","527401","12285","4985","1278",
"0400000US38","North Dakota","377722","757","219558","4491","21879","2286","4843","1324","10208","1611","14766","2341","18164","2769","33595","3151","26241","3148","28220","2752","248","218",
"0400000US39","Ohio","5293227","374","3639393","15068","266236","8896","196277","7944","222426","8696","235844","9006","207361","9277","115750","6913","225827","8373","181242","7047","2871","834",
"0400000US40","Oklahoma","1776732","635","1278218","7428","40705","2510","36258","2805","50834","3790","70779","4529","54689","3733","36877","3164","52767","3359","151238","4526","4367","651",
"0400000US41","Oregon","1859349","332","1166974","10071","89442","4821","47540","4155","81939","5143","80833","5884","73540","5089","65537","4102","118635","6035","126598","5635","8311","1301",
"0400000US42","Pennsylvania","5815191","386","3289691","17364","1081929","14883","248028","10312","235399","9249","181508","7873","154356","7814","137914","6722","278601","9115","205068","7091","2697","869",
"0400000US44","Rhode Island","486017","80","274237","5429","21433","3420","46398","3983","51736","3980","22368","3023","16560","2591","14088","2229","34969","3183","3967","1051","261","260",
"0400000US45","South Carolina","2446680","237","1576876","11693","96693","5318","41879","3739","72376","5622","92264","5833","80885","5351","69887","5453","62640","4941","348544","8726","4636","1097",
"0400000US46","South Dakota","408009","479","277246","4647","17076","1924","5642","1101","13458","1954","15148","2136","18447","2235","19752","2394","12350","1946","28242","2222","648","347",
"0400000US47","Tennessee","3144583","494","2150720","14460","122018","6093","75235","6266","97940","6966","132601","8515","109116","6306","72954","5629","118620","6942","260517","8416","4862","1385",
"0400000US48","Texas","12135376","1261","7828380","32148","349623","10903","216481","8962","415056","12572","549442","16173","657531","17939","424324","16981","890000","17720","768293","18433","36246","3710",
"0400000US49","Utah","1228707","311","823816","8606","95655","4204","31451","3646","47370","4015","37822","3474","52556","4053","43230","4082","60066","4079","36101","3107","640","468",
"0400000US50","Vermont","338998","176","228786","3694","14875","2081","18221","2327","19316","2602","15077","2096","7620","1265","9022","1547","7116","1574","18785","1622","180","151",
"0400000US51","Virginia","3685233","550","2266022","12044","411616","10340","58790","4307","100887","6324","165959","8620","191706","8313","82474","4582","247377","7679","158671","6196","1731","751",
"0400000US53","Washington","3313479","1252","2057867","14821","148151","6250","70381","4677","107302","6092","148470","7274","164834","7092","156016","7459","272626","8955","178860","6394","8972","1648",
"0400000US54","West Virginia","861686","241","608979","6787","23140","2581","17107","2060","25834","2984","22708","2964","16073","2123","11660","2016","16019","2132","118617","4980","1549","774",
"0400000US55","Wisconsin","2770355","641","1839386","11419","117921","4801","161429","6760","94663","4868","136883","8091","95978","4781","116887","5302","120791","5733","84592","2884","1825","804",
"0400000US56","Wyoming","277106","67","188175","4101","13148","1697","5200","1262","12673","1848","9087","1572","7581","1622","6302","1448","2926","1077","31449","2482","565","317",
"0400000US72","Puerto Rico","1598570","7274","1075998","10610","195857","6660","45395","3389","46512","4009","74035","4295","53064","3979","32690","2757","70492","3685","4316","1102","211","265",
