"GEO_ID","NAME","B25001_001E","B25001_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","2313616","360",
"0400000US02","Alaska","327889","219",
"0400000US04","Arizona","3138685","419",
"0400000US05","Arkansas","1380768","294",
"0400000US06","California","14512149","1218",
"0400000US08","Colorado","2540783","353",
"0400000US09","Connecticut","1536327","369",
"0400000US10","Delaware","457978","419",
"0400000US11","District of Columbia","357482","47",
"0400000US12","Florida","10054509","692",
"0400000US13","Georgia","4475242","715",
"0400000US15","Hawaii","564878","118",
"0400000US16","Idaho","775330","165",
"0400000US17","Illinois","5440294","583",
"0400000US18","Indiana","2950121","809",
"0400000US19","Iowa","1426039","267",
"0400000US20","Kansas","1284353","200",
"0400000US21","Kentucky","2008227","316",
"0400000US22","Louisiana","2093387","356",
"0400000US23","Maine","744620","973",
"0400000US24","Maryland","2546364","423",
"0400000US25","Massachusetts","3017772","315",
"0400000US26","Michigan","4590384","648",
"0400000US27","Minnesota","2517173","542",
"0400000US28","Mississippi","1332041","222",
"0400000US29","Missouri","2807632","277",
"0400000US30","Montana","521916","188",
"0400000US31","Nebraska","854298","175",
"0400000US32","Nevada","1305534","192",
"0400000US33","New Hampshire","643979","131",
"0400000US34","New Jersey","3779591","1544",
"0400000US35","New Mexico","948042","368",
"0400000US36","New York","8530561","867",
"0400000US37","North Carolina","4801698","420",
"0400000US38","North Dakota","374435","225",
"0400000US39","Ohio","5269498","445",
"0400000US40","Oklahoma","1762113","243",
"0400000US41","Oregon","1837009","316",
"0400000US42","Pennsylvania","5770472","639",
"0400000US44","Rhode Island","484925","184",
"0400000US45","South Carolina","2395957","268",
"0400000US46","South Dakota","400688","380",
"0400000US47","Tennessee","3087992","386",
"0400000US48","Texas","11867820","1642",
"0400000US49","Utah","1190154","220",
"0400000US50","Vermont","336747","140",
"0400000US51","Virginia","3652329","452",
"0400000US53","Washington","3257140","888",
"0400000US54","West Virginia","858462","264",
"0400000US55","Wisconsin","2748274","1039",
"0400000US56","Wyoming","274373","94",
"0400000US72","Puerto Rico","1526801","7559",
