"GEO_ID","NAME","B25001_001E","B25001_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","2360120","220",
"0400000US02","Alaska","329681","282",
"0400000US04","Arizona","3239474","370",
"0400000US05","Arkansas","1409104","322",
"0400000US06","California","14762527","428",
"0400000US08","Colorado","2638093","2183",
"0400000US09","Connecticut","1546010","175",
"0400000US10","Delaware","471472","147",
"0400000US11","District of Columbia","367125","69",
"0400000US12","Florida","10451823","503",
"0400000US13","Georgia","4610506","467",
"0400000US15","Hawaii","572042","104",
"0400000US16","Idaho","815304","151",
"0400000US17","Illinois","5470727","527",
"0400000US18","Indiana","3002580","509",
"0400000US19","Iowa","1448736","1169",
"0400000US20","Kansas","1299931","716",
"0400000US21","Kentucky","2036559","301",
"0400000US22","Louisiana","2124930","297",
"0400000US23","Maine","757424","1338",
"0400000US24","Maryland","2572382","567",
"0400000US25","Massachusetts","3045867","257",
"0400000US26","Michigan","4642957","1572",
"0400000US27","Minnesota","2574932","884",
"0400000US28","Mississippi","1350552","165",
"0400000US29","Missouri","2844440","583",
"0400000US30","Montana","535481","106",
"0400000US31","Nebraska","873525","618",
"0400000US32","Nevada","1348248","137",
"0400000US33","New Hampshire","653070","115",
"0400000US34","New Jersey","3803652","1675",
"0400000US35","New Mexico","965373","173",
"0400000US36","New York","8631232","832",
"0400000US37","North Carolina","4979177","649",
"0400000US38","North Dakota","378124","1167",
"0400000US39","Ohio","5317134","790",
"0400000US40","Oklahoma","1788886","228",
"0400000US41","Oregon","1879510","136",
"0400000US42","Pennsylvania","5839797","484",
"0400000US44","Rhode Island","487127","96",
"0400000US45","South Carolina","2490327","211",
"0400000US46","South Dakota","417187","159",
"0400000US47","Tennessee","3195170","237",
"0400000US48","Texas","12394809","3110",
"0400000US49","Utah","1258529","179",
"0400000US50","Vermont","341357","74",
"0400000US51","Virginia","3717625","472",
"0400000US53","Washington","3361561","310",
"0400000US54","West Virginia","863756","177",
"0400000US55","Wisconsin","2787388","291",
"0400000US56","Wyoming","280119","109",
"0400000US72","Puerto Rico","1613134","8779",
