Year,Production,Imports,Exports,Apparent consumption
1902.0,452000.0,0.0,0.0,452000.0
1903.0,747000.0,0.0,0.0,747000.0
1904.0,5280000.0,0.0,0.0,5280000.0
1905.0,16400000.0,0.0,0.0,16400000.0
1906.0,24400000.0,0.0,0.0,24400000.0
1907.0,32100000.0,0.0,0.0,32100000.0
1908.0,30000000.0,0.0,0.0,30000000.0
1909.0,49000000.0,0.0,0.0,49000000.0
1910.0,56900000.0,0.0,0.0,56900000.0
1911.0,53700000.0,0.0,0.0,53700000.0
1912.0,53800000.0,0.0,0.0,53800000.0
1913.0,65100000.0,0.0,0.0,65100000.0
1914.0,65500000.0,0.0,0.0,65500000.0
1915.0,61800000.0,0.0,0.0,61800000.0
1916.0,71800000.0,0.0,0.0,71800000.0
1917.0,60400000.0,0.0,0.0,60400000.0
1918.0,47000000.0,503000.0,0.0,47500000.0
1919.0,56300000.0,542000.0,0.0,56900000.0
1920.0,64800000.0,1110000.0,0.0,65900000.0
1921.0,67300000.0,823000.0,0.0,68100000.0
1922.0,78100000.0,409000.0,162000.0,78300000.0
1923.0,117000000.0,431000.0,250000.0,117000000.0
1924.0,132000000.0,630000.0,142000.0,133000000.0
1925.0,145000000.0,481000.0,193000.0,146000000.0
1926.0,155000000.0,852000.0,193000.0,156000000.0
1927.0,169000000.0,658000.0,191000.0,169000000.0
1928.0,179000000.0,675000.0,334000.0,180000000.0
1929.0,190000000.0,1510000.0,221000.0,191000000.0
1930.0,171000000.0,1640000.0,147000.0,173000000.0
1931.0,134000000.0,350000.0,98800.0,134000000.0
1932.0,105000000.0,169000.0,43600.0,105000000.0
1933.0,93000000.0,85500.0,37400.0,93100000.0
1934.0,100000000.0,100000.0,15200.0,100000000.0
1935.0,106000000.0,114000.0,17000.0,106000000.0
1936.0,153000000.0,295000.0,22600.0,154000000.0
1937.0,162000000.0,438000.0,30500.0,163000000.0
1938.0,159000000.0,605000.0,16100.0,159000000.0
1939.0,197000000.0,229000.0,12600.0,197000000.0
1940.0,207000000.0,399000.0,0.0,207000000.0
1941.0,249000000.0,388000.0,0.0,249000000.0
1942.0,262000000.0,503000.0,0.0,262000000.0
1943.0,197000000.0,348000.0,0.0,197000000.0
1944.0,161000000.0,251000.0,0.0,161000000.0
1945.0,163000000.0,253000.0,0.0,163000000.0
1946.0,216000000.0,314000.0,0.0,216000000.0
1947.0,245000000.0,431000.0,0.0,245000000.0
1948.0,274000000.0,385000.0,0.0,275000000.0
1949.0,277000000.0,383000.0,0.0,277000000.0
1950.0,320000000.0,396000.0,0.0,321000000.0
1951.0,346000000.0,426000.0,0.0,347000000.0
