State,Total_Quantity
California,101000000.0
Texas,93600000.0
Minnesota,52500000.0
Arizona,44200000.0
Michigan,42700000.0
Utah,37400000.0
Washington,35500000.0
Colorado,34200000.0
Ohio,33400000.0
Wisconsin,29400000.0
New York,29000000.0
Florida,24900000.0
Idaho,23200000.0
Nevada,19900000.0
Indiana,18700000.0
Illinois,17600000.0
Oregon,16100000.0
Louisiana,14300000.0
Iowa,13900000.0
Alabama,13600000.0
New Jersey,13500000.0
Nebraska,13300000.0
Montana,12600000.0
Wyoming,12600000.0
New Mexico,12400000.0
Oklahoma,11400000.0
North Dakota,10900000.0
South Dakota,10700000.0
Kansas,10500000.0
South Carolina,10100000.0
Pennsylvania,9600000.0
Massachusetts,9370000.0
North Carolina,9080000.0
Virginia,8610000.0
Missouri,8450000.0
Kentucky,8440000.0
Maine,8370000.0
Mississippi,7950000.0
Tennessee,7550000.0
New Hampshire,7440000.0
Arkansas,6990000.0
Maryland,5880000.0
Georgia,5850000.0
Alaska,5580000.0
Vermont,5070000.0
Connecticut,4200000.0
Rhode Island,3540000.0
Delaware,2810000.0
West Virginia,587000.0
Hawaii,158000.0
