Mine ID,Mine Name_x,Street,City,State,Zip Code,Mine Name_y,Commodity,Mine Status,Status Date,Type of Mine
100538,Parker Mine,,,Alabama,,Parker Mine,Construction Sand and Gravel,Abandoned,10/17/1979,Surface
100541,Kennamer Pit,,,Alabama,,Kennamer Pit,Construction Sand and Gravel,Abandoned,6/11/1979,Surface
100542,Hamilton Pit,,,Alabama,,Hamilton Pit,Construction Sand and Gravel,Abandoned,7/15/1992,Surface
100543,Tate Pit,,,Alabama,,Tate Pit,Construction Sand and Gravel,Abandoned,3/14/1986,Surface
100546,Excel Pit,,,Alabama,,Excel Pit,Construction Sand and Gravel,Abandoned,5/15/1989,Surface
100575,Montgomery Plant,,,Alabama,,Montgomery Plant,Construction Sand and Gravel,Abandoned,10/5/1994,Surface
100576,PIT #1,,,Alabama,,PIT #1,Construction Sand and Gravel,Abandoned,6/8/1998,Surface
100577,American Mine,,,Alabama,,American Mine,Construction Sand and Gravel,Abandoned,4/9/1979,Surface
100580,Oliver Mine,,,Alabama,,Oliver Mine,Construction Sand and Gravel,Abandoned,3/8/1994,Surface
100583,Woodstock Mine,,,Alabama,,Woodstock Mine,Construction Sand and Gravel,Abandoned,7/21/1977,Surface
100584,BRICKYARD PLANT,1443 Brickyard Road,Phoenix City,Alabama,36867.0,BRICKYARD PLANT,Construction Sand and Gravel,Abandoned,12/5/2007,Surface
100586,Columbia Pit,,,Alabama,,Columbia Pit,Construction Sand and Gravel,Abandoned,7/10/1978,Surface
100587,Fremont Mine,,,Alabama,,Fremont Mine,Construction Sand and Gravel,Abandoned,8/6/1984,Surface
100590,HUNTER STATION DIVISION,,,Alabama,,HUNTER STATION DIVISION,Construction Sand and Gravel,Abandoned,12/1/2001,Surface
100593,FAYEET PIT,,,Alabama,,FAYEET PIT,Construction Sand and Gravel,Abandoned,8/26/1997,Surface
100594,Akron Pit,,,Alabama,,Akron Pit,Construction Sand and Gravel,Abandoned,7/7/1977,Surface
100598,Lowndes Pit,,,Alabama,,Lowndes Pit,Construction Sand and Gravel,Abandoned,12/14/1982,Surface
100599,Millsap Pit And Plant,,,Alabama,,Millsap Pit And Plant,Construction Sand and Gravel,Abandoned,4/2/1984,Surface
100600,Sumter County Pit No I,,,Alabama,,Sumter County Pit No I,Construction Sand and Gravel,Abandoned,11/16/1987,Surface
100602,Eufaula Mine And Mill,,,Alabama,,Eufaula Mine And Mill,Construction Sand and Gravel,Abandoned,2/28/1980,Surface
100604,Trapptown No 1,,,Alabama,,Trapptown No 1,Construction Sand and Gravel,Abandoned,2/18/1987,Surface
100605,Dredge Albatross,,,Alabama,,Dredge Albatross,Construction Sand and Gravel,Abandoned,7/15/1993,Surface
