year,residential,commercial,institutional,industrial,total
1950,72.58311112886203,30.24904194493455,12.098930150849071,6.04740418498416,120.9784874096298
1951,147.8846285042975,61.63211390687117,24.651335654730836,12.32088998457364,246.48896805047315
1952,225.90377100849554,94.14911167545921,37.65716006739012,18.82026201233563,376.5303047636805
1953,306.6396226910406,127.79990212386491,51.11633632420693,25.545282130687298,511.10114326979976
1954,390.09111232989835,162.58431597676167,65.02878495097666,32.49566147315977,650.1998747307964
1955,476.256990421188,198.50213899836143,79.3944120150378,39.67105130353159,793.8245927381189
1956,565.1358033655846,235.55310131684416,94.2131067868612,47.071032613602625,941.9730440828926
1957,656.7258646133265,273.7368645660597,109.48473908014502,54.69510436840229,1094.6425726279335
1958,751.0252225265285,313.05300648917927,125.20915623648668,62.542670318736356,1251.8300555709309
1959,848.0316247173299,353.5010026130964,141.38617971888044,70.61302431669853,1413.5318313660052
1960,947.7424786238696,395.08020456808526,158.01560127667952,78.90533409056617,1579.7436185592005
1961,1051.062096982827,438.16792762041234,175.2484152702154,87.49421601404525,1751.9726558874997
1962,1157.987029168811,482.7631909747146,193.08433767626576,96.37852197464696,1930.213079794438
1963,1268.5133331587574,528.8647989221192,211.52303969463617,105.55691769280978,2114.4580894683227
1964,1382.6365175258259,576.4713006335237,230.56414169409885,115.02786005349185,2304.6998199069403
1965,1500.351478494284,625.5809440587495,250.2072065130788,124.78957310337763,2500.92920216949
1966,1621.6524319198732,676.1916234236179,270.4517320741283,134.84002289935808,2703.1358103169778
1967,1746.5328401015015,728.3008198491935,291.2971432730156,145.17689144995126,2911.307694673662
1968,1874.9853333787803,781.90553466975,312.7427831058967,155.79755004993015,3125.431201204357
1969,2007.0016265260053,837.0022151010302,334.7879030016314,166.69903236815327,3345.4907769968204
1970,2142.5724300167853,893.586672010459,357.431652330931,177.87800770771048,3571.4687620658856
1971,2278.96548963719,950.5196505950104,380.2193571890957,189.10397725707404,3798.8084746783697
1972,2416.1693511058647,1007.7954218818368,403.14993675406254,200.37283058893908,4027.4875403307033
1973,2554.1712851336374,1065.4073295360072,426.2221733307413,211.68002508050083,4257.480813080887
1974,2692.9571845771907,1123.3476774725864,449.4346987479339,223.02056646345252,4488.760127261163
1975,2832.5114586454815,1181.60761103221,472.7859799550364,234.38899260644632,4721.294042239174
1976,2972.816924827786,1240.1769926988682,496.2743038504097,245.77936120362486,4955.047582580688
1977,3113.8546993214322,1299.0442736273965,519.8977613871612,257.18524203817685,5189.981976374166
1978,3255.6040868477585,1358.1963625509275,543.6542310170955,268.5997144670928,5426.0543948828745
1979,3398.042470855125,1417.6184939479303,567.5413615496606,280.0153707310704,5663.217697083786
1980,3541.1452052157106,1477.294097655739,591.5565545196815,291.4243256310715,5901.420183022203
1981,3685.7927975154516,1537.582785436891,615.848182802257,302.89382558252925,6142.117591337129
1982,3831.9561864324983,1598.4640012916639,640.4130961653464,314.4150784935016,6385.24836238301
1983,3979.603969557477,1659.915027085073,665.247841868626,325.97888400114886,6630.745722512324
1984,4128.702312707968,1721.9108849788279,690.3486462535714,337.57567163027886,6878.537515570646
1985,4279.214867449034,1784.4242559471184,715.7113965642803,349.19554632955163,7128.546066289984
1986,4431.1026983738275,1847.4254177274788,741.3316231981823,360.8283411592717,7380.688080458761
1987,4584.324221723167,1910.882205531771,767.204482601635,372.4636767369021,7634.874586593475
1988,4738.83515692652,1974.759998725191,793.3247410397429,384.0910268775334,7891.010923568986
1989,4894.588492627475,2039.0217364665034,819.6867594821036,395.69978970146684,8148.996778277548
1990,5051.534468712779,2103.627964986554,846.2844798562259,407.27936332505686,8408.726276880616
1991,5209.257660238088,2168.385673554164,873.050918276882,418.7889880882006,8669.483240157335
1992,5367.702844126864,2233.2509032549,899.9791452901804,430.21830573396795,8931.151198405913
1993,5526.812107886165,2298.1776542829516,927.0617822119162,441.5572025730698,9193.608746954102
1994,5686.524909581872,2363.1180768610566,954.2909955093223,452.7958923274494,9456.7298742797
1995,5846.778159898125,2428.0226990801484,981.6584938573624,463.9249974889819,9720.384350324617
1996,6007.50632698259,2492.8406905350143,1009.1555281120695,474.93562782903416,9984.438173458708
1997,6168.6415645514635,2557.520159794607,1036.7728944273551,485.819454720223,10248.75407349365
1998,6330.113863478783,2622.008482902283,1064.5009407210614,496.5687799909822,10513.19206709311
1999,6491.851226826596,2686.252659277435,1092.3295766708352,507.1765981253238,10777.610060900188
2000,6653.7798679890675,2750.199690611422,1120.2482873906997,517.636650742173,11041.864496733362
2001,6816.731720218034,2814.1750906674874,1148.3973875321526,528.0190649899241,11307.323263407598
2002,6974.09757779309,2875.4046505227407,1175.6766627360532,537.7749298247982,11562.953820876683
2003,7126.3443273450075,2934.0646923393983,1202.165204371147,546.9458725986901,11809.520096654243
2004,7275.208300174611,2990.862538112021,1228.1535056052746,555.6802298721212,12049.904573764028
2005,7418.796153510418,3044.995101919977,1253.326812848984,563.8248427144821,12280.942910993861
2006,7557.029082579955,3096.417975930662,1277.6725935352715,571.3786409756378,12502.498293021526
2007,7684.38477229925,3142.8208944630487,1300.2706794048959,577.8878775911065,12705.3642237583
2008,7791.712581300096,3180.384330660486,1319.595802027535,582.5973454698903,12874.290059458008
2009,7878.9361636018175,3209.0734161276296,1335.634968834638,585.5086919333698,13009.153240497455
2010,7965.940953592296,3237.175549238496,1351.702330894537,588.2874299306737,13143.106263656002
2011,8052.6528906231415,3264.6635776424055,1367.7847623234882,590.936639298579,13276.037869887616
2012,8144.443670962366,3293.783218690783,1384.7765953174578,593.9136640509628,13416.91714902157
2013,8243.057960125392,3325.272048622486,1402.9672941833655,597.3740829730589,13568.671385904303
2014,8348.428448996607,3359.115830178436,1422.343996070131,601.3228621285592,13731.211137373733
2015,8456.861682477327,3393.7923331191114,1442.2891020092554,605.4631236690482,13898.406241274743
2016,8566.482285326796,3428.5400184912733,1462.4877681578582,609.6496746437186,14067.159746619647
2017,8675.418632498666,3462.6017516936417,1482.62548860832,613.7377513958385,14234.383624196465
2018,8783.617730385766,3495.980928337981,1502.6906290633792,617.734149840666,14400.023437627791
2019,8887.401680835974,3527.172646491804,1522.067060622212,621.3436006720267,14557.984988622014
2020,8981.282677860441,3553.91976659452,1539.836701470048,624.1199366077977,14699.159082532808
2021,9085.182013107831,3584.556099915505,1559.3166784263228,627.7338456801219,14856.788637129783
2022,9188.177199671438,3614.5630587686965,1578.68262979566,631.2858587452203,15012.708746981016
2023,9292.053307114264,3644.718926712357,1598.228199815645,634.9350053058029,15169.935438948069
2024,9387.713060324098,3671.2675965902063,1616.4328963990883,637.9332701144749,15313.346823427866
